"nombres","apellidos","numero.lista","corporacion","partido","genero","nacimiento","tiempo.congreso","La.eutanasia","El.sexo.antes.del.matrimonio","El.matrimonio.homosexual","El.divorcio","El.consumo.de.marihuana","El.aborto","Estatuto.de.la.Ciudadanía.Juvenil","Justicia.Penal.Militar..Fuero.Militar","Reforma.a.la.Justicia.Ejecutivo","Implementación.del.TLC.con.Estados.Unidos..Ley.Lleras.2.0","Ley.estatutaria.de.reforma.a.la.salud"
"Mirla Brigith","Aaron Freite","103","Representante a la Cámara","Centro Democrático","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Luis","Abdala Olivera","105","Representante a la Cámara","Conservador Colombiano","M",NA,0,NA,NA,"","","","",NA,NA,NA,NA,NA
"Samir Jose","Abisambra Vesga","104","Representante a la Cámara","Alianza Verde","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Camilo Andrés","Abril Jaimes","101","Representante a la Cámara","Cambio Radical","M",1981,4,"","","","","","",NA,"","agree",NA,"agree"
"Jorge Camilo","Abril Tarache","101","Representante a la Cámara","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Nicolas Elias ","Abuchaibe Slebi","80","Senador de la República","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Feder Francisco ","Acevedo Atencio","102","Representante a la Cámara","MIRA","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Martha","Acevedo Cardenas","402","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Nancy Elena ","Acevedo Medina","108","Representante a la Cámara","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge Enrique","Acevedo Peñaloza","103","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ómar","Acevedo Ramírez","101","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Miguel Orlando","Acevedo Salas","38","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Globis Oweimar","Acevedo Toledo","101","Representante a la Cámara","MIRA","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Martha Isabel","Acosta Angulo","91","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Manuel Julian","Acosta Barros","54","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alvaro","Acosta Camacho","54","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Rafael Enrique ","Acosta Carboneros","104","Representante a la Cámara","Union Patriotica - Up","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Edith Aurora","Acosta Cortes","106","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Cecilia","Acosta De Muñoz","104","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jairo Alberto","Acosta Pava","101","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Lilia Isabel","Acosta Pérez","101","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yahir Fernando","Acuña Cardales","101","Representante a la Cámara","Movimiento Político Cien por Ciento por Colombia","M",1980,4,"","","","","","",NA,"","disagree",NA,"agree"
"Laureano Augusto","Acuña Díaz","35","Senador de la República","Conservador Colombiano","M",1971,4,"","","","","disagree","agree",NA,"agree","",NA,""
"Óscar Alfonso","Acuña Pabuena","102","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jhon Jairo","Acuña Perez","61","Senador de la República","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gustavo","Afanador Severiche","105","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Argemiro José","Agamez Palacio","17","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Andres","Agreda Chicunque","90","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Andres","Agreda Chicunque","201","Senador de la República","Asociacion Nacional Indigena de Colombia - ANIC","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Carlos","Agudelo Galvis","018","Senador de la República","Cambio Radical","M",NA,0,NA,NA,"disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Ana Paola","Agudelo García","402","Representante a la Cámara","MIRA","F",1983,0,"disagree","","","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Luis Fernando ","Agudelo Londoño","102","Representante a la Cámara","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Rubén Darío","Agudelo Puerta","102","Representante a la Cámara","Conservador Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Lee Jason","Agudelo Salazar","101","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Martha Liliana","Agudelo Valencia","103","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mario de Jesus","Agudelo Vasquez","115","Representante a la Cámara","Alianza Social Independiente","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Iván Darío","Agudelo Zapata","117","Representante a la Cámara","Liberal Colombiano","M",1967,4,"","","","","","",NA,"agree","agree",NA,"agree"
"Nicolas","Aguilar Gonzalez","103","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Nerthink Mauricio","Aguilar Hurtado","007","Senador de la República","Opción Ciudadana","M",1976,4,"","disagree","disagree","disagree","disagree","disagree","","","agree","agree","agree"
"Gildardo","Aguilar Moreno","102","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria Gladis","Aguilar Moreno","108","Representante a la Cámara","Union Patriotica - Up","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jairo Alfonso","Aguilar Ocando","402","Representante a la Cámara","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Pedro Antonio","Aguilar Rodríguez","018","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","M",NA,0,"","","disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Rogelio de Jesus","Aguilar Suarez","115","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hernando Alfonso ","Aguilera Blanco","66","Senador de la República","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Miguel Enrique","Aguilera Hernandez","047","Senador de la República","Liberal Colombiano","M",1976,0,"agree","agree","agree","agree","disagree","agree",NA,NA,NA,NA,NA
"Modesto Enrique","Aguilera Vides","102","Representante a la Cámara","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hérika Yaneth","Aguirre Patiño","019","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"María Teresa","Aguirre Vargas","102","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alfonso","Ahumada Barbosa","112","Representante a la Cámara","Union Patriotica - Up","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Blas Alberto","Ahumada Barraza","104","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fernando","Alameda Alvarado","72","Senador de la República","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Eduardo","Alarcón Córdoba","103","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Norman Javier","Alarcón Rodas","107","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Pablo Eladio","Alba Medina","102","Representante a la Cámara","Alianza Social Independiente","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria Magdalena ","Albarracin","104","Representante a la Cámara","Cambio Radical","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Manuel Enrique","Albarracín","103","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Janner Eriberto","Alemán Severiche","","Senador de la República","MIRA","M",1970,0,NA,NA,NA,NA,NA,"disagree",NA,NA,NA,NA,NA
"Jhon Jairo ","Alfonso","203","Senador de la República","Asociacion Nacional Indigena de Colombia - ANIC","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis","Alfonso Castaño","103","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Liliana","Alfonso Jaimes","106","Representante a la Cámara","Centro Democrático","F",1982,0,"","","disagree","","disagree","",NA,NA,NA,NA,NA
"Arcadio Jose","Almansa Iglesias","102","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Antonio Martin ","Almazo Acosta","202","Senador de la República","Alianza Social Independiente","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Armando Arturo","Alvarado Guillen","51","Senador de la República","Polo Democrático Alternativo","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Angelmiro","Alvarado Mendieta","16","Senador de la República","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alejandro","Alvarez Angel","102","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Amparo del Socorro","Alvarez Benavides","110","Representante a la Cámara","Union Patriotica - Up","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fernando","Alvarez Corredor","24","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Mario","Alvarez Gomez","111","Representante a la Cámara","Union Patriotica - Up","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Tulio de Jesús","Álvarez González","104","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Aniceto","Alvarez Hurtado","25","Senador de la República","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Johanna Maria","Alvarez Lopez","98","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria Luisa","Alvarez Monsalve","102","Representante a la Cámara","Alianza Verde","F",1979,0,"disagree","","disagree","","disagree","disagree",NA,NA,NA,NA,NA
"Javier Tato","Álvarez Montenegro","099","Senador de la República","Liberal Colombiano","M",1969,16,"","","","","","",NA,"disagree","disagree",NA,"disagree"
"Julio Anderson","Alvarez Month","102","Representante a la Cámara","Movimiento de Inclusión y Oportunidades - MIO","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Darienzo Alcid","Álvarez Paz","101","Representante a la Cámara","MIRA","M",NA,0,"",NA,"","","","",NA,NA,NA,NA,NA
"Hernando","Alvarez Ureña","104","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alberto Segundo ","Alvarez Urueta","103","Representante a la Cámara","Union Patriotica - Up","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Manuel de Jesús","Alvarez Vasco","117","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Pablo Andrés","Álvarez Vega","103","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Martha Cecilia","Alzate Alzate","101","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge Hernan ","Alzate Gomez","103","Representante a la Cámara","Cambio Radical","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Arbey","Alzate Uribe","106","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Javier Fernando","Amador Palomino","103","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Romero","Amia Wilches","103","Representante a la Cámara","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Miguel ","Amín Escaf","015","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","M",1948,8,"","","","","","",NA,"agree","agree",NA,"agree"
"Jaime Alejandro","Amín Hernández","014","Senador de la República","Centro Democrático","M",NA,4,NA,NA,"","","","",NA,NA,NA,NA,NA
"Fabio Raúl ","Amín Saleme","101","Representante a la Cámara","Liberal Colombiano","M",1974,8,"","","","","","",NA,"","agree",NA,"agree"
"Diego Alfonso","Anacona Álvarez","113","Representante a la Cámara","MIRA","M",1984,0,"",NA,"","","","",NA,NA,NA,NA,NA
"Ana Luz","Anaya Álvarez","103","Representante a la Cámara","Conservador Colombiano","F",NA,0,"agree","agree","disagree","agree","disagree","disagree",NA,NA,NA,NA,NA
"Alfonso Enrique","Anaya Lorduy","102","Representante a la Cámara","Cambio Radical","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fredy Antonio","Anaya Martínez","107","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge Luis","Anaya Silgado","303","Representante a la Cámara","Afrovides","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Rafael","Anchico Valencia","108","Representante a la Cámara","Polo Democrático Alternativo","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Evelis ","Andrade Casamá","201","Senador de la República","Movimiento Alternativo Indígena y Social - MAIS","M",1967,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Francisco ""Paché""","Andrade Chaves","024","Senador de la República","Liberal Colombiano","M",NA,0,"","","agree","","","",NA,NA,NA,NA,NA
"Hernán Francisco","Andrade Serrano","009","Senador de la República","Conservador Colombiano","M",1960,16,"","","","","","","agree","agree","agree","agree",""
"Darío","Angarita Medellín","080","Senador de la República","Liberal Colombiano","M",1958,1,"","","disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Diego Alexander","Angulo Marinez","301","Representante a la Cámara","Corporación Poder Ciudadano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Priscila","Angulo Porras","107","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Antonio","Angulo Ricardo","115","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Zoila Rosa","Angulo Rodelo","35","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Harold","Angulo Vence","303","Representante a la Cámara","Corporación Poder Ciudadano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mary Luz ","Ante Orobio","302","Representante a la Cámara","Los Palenkes - Bellavista - Ch","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Carlos","Aparicio Concha","102","Representante a la Cámara","Liberal Colombiano","M",1948,0,"agree","disagree","","agree","disagree","agree",NA,NA,NA,NA,NA
"Hamilson","Aragon Renteria","301","Representante a la Cámara","Los Palenkes - Bellavista - Ch","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge Isaac ","Aramburo García","302","Representante a la Cámara","Asociación Colombiana de Entrenadores Deportivos y Profesionales - Asodeportes","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria Teresa","Aranda Serrano","26","Senador de la República","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gabriel Ernesto ","Arango Bacci","32","Senador de la República","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Rodolfo","Arango Rivadeneira","14","Senador de la República","Polo Democrático Alternativo","M",1963,0,"agree","agree","agree","agree","agree","agree",NA,NA,NA,NA,NA
"Jair","Arango Torres","101","Representante a la Cámara","Cambio Radical","M",1959,4,NA,"","","","","",NA,"","agree",NA,""
"Héctor Fabio","Aranzazu Arredondo","102","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Huber","Araujo Nieto","101","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fernando Nicolás","Araújo Rumié","08","Senador de la República","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alejandro","Arbelaez Arango","100","Senador de la República","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ligia Lucía","Arbeláez Florez","91","Senador de la República","Alianza Verde","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hector Fabio ","Arbelaez Sanchez","109","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"María Pubenza","Arbeláez Súa","056","Senador de la República","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Julio Edgar","Arboleda Blanquicet","108","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yolanda","Arboleda Santos","013","Senador de la República","Opción Ciudadana","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hugo Fernando ","Arce Guzman","64","Senador de la República","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Lineth","Archbold Contreras","63","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Janet Antonia ","Archbold Howard","31","Senador de la República","Centro Democrático","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Marconel","Arcila Castañeda","116","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Natalia","Arcila Cortes","112","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Henry Humberto","Arcila Moncada","101","Representante a la Cámara","Conservador Colombiano","M",1961,4,"","","","","","",NA,"agree","agree",NA,"agree"
"Julio","Arciniegas Cifuentes","101","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge Tobías","Arciniegas Erazo","103","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Julio César","Ardila","57","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luz América","Ardila Cortés","102","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Marco Aurelio","Ardila Gómez","044","Senador de la República","Liberal Colombiano","M",1960,0,"","","","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Deyanira","Ardila Gonzalez","105","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"César Augusto","Ardila López","105","Representante a la Cámara","MIRA","M",NA,0,"",NA,"disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Maria","Ardila Montes","104","Representante a la Cámara","Alianza Verde","F",1972,0,"disagree","","disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Orlando","Ardila Torres","101","Representante a la Cámara","Union Patriotica - Up","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Andrés","Areiza Padilla","54","Senador de la República","Cambio Radical","M",1983,0,"agree","agree","agree","agree","agree","agree",NA,NA,NA,NA,NA
"Pedro José","Arenas García","21","Senador de la República","Alianza Verde","M",1971,4,"","","","","agree","agree",NA,NA,NA,NA,NA
"Ingrid Yadira","Arenas Sanabria","106","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Eduardo Jose ","Arenas Sinisterra","103","Representante a la Cámara","Cambio Radical","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Wendy","Arenas Wightman","048","Senador de la República","Liberal Colombiano","F",1962,0,"","","agree","","agree","agree",NA,NA,NA,NA,NA
"Deisy Estela","Arevalo Mena","101","Representante a la Cámara","Opción Ciudadana","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Alfonso","Arévalo Rojas","096","Senador de la República","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yezmid","Arévalo Usme","51","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Lucy Estela","Arguello Campo","102","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Martha Ligia ","Arias Albino","103","Representante a la Cámara","Polo Democrático Alternativo","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Isaias","Arias Aragon","102","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Wilson","Arias Ardila","302","Representante a la Cámara","Asociacion de Afro-Descendientes del Magdalena Medio - Afrodmam","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Arbey","Arias Caicedo","101","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Wilson Neber","Arias Castillo","101","Representante a la Cámara","Polo Democrático Alternativo","M",1962,4,"","","","","","",NA,"disagree","disagree",NA,""
"Alberto de Jesús","Arias Dávila","102","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Laura","Arias Galeano","114","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Dimas Alberto","Arias Lasso","101","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan De Dios","Arias Lopez","114","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Julio Rafael","Arias Moreno","62","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Félix Bienvenido","Ariño Fernández","73","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fabio","Aristizabal Angel","107","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"María Claudia","Aristizábal Dorronsoro","112","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Fernando","Aristizabal Tabares","46","Senador de la República","Alianza Verde","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Aníbal José","Ariza Orozco","101","Representante a la Cámara","Centro Democrático","M",NA,2,"","","disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Heriberto","Arrechea Banguera","301","Representante a la Cámara","Movimiento de Inclusión y Oportunidades - MIO","M",1964,4,"","","","","","",NA,"","",NA,""
"Robert","Arrechea Torres","301","Representante a la Cámara","Fundación Intensidad","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Eduardo","Arredondo Torres","25","Senador de la República","Cambio Radical","",1973,0,"","","","","","",NA,NA,NA,NA,NA
"Edgar","Arrieta Caraballo","103","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fabio Alonso","Arroyave Botero","113","Representante a la Cámara","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Fernando","Arroyave Sierra","103","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Numidia Del Carmen","Arroyo Carmen","104","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Javier","Arroyo Hernandez","114","Representante a la Cámara","Union Patriotica - Up","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jackie","Arroyo Sierra","101","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Lina Maria","Artunduaga Montenegro","103","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Álvaro Antonio","Ashton Giraldo","6","Senador de la República","Liberal Colombiano","M",1956,16,"","","agree","","agree","agree","agree","","agree","agree","agree"
"Paciano","Asprilla Arboleda","301","Representante a la Cámara","Asopra","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jaksson","Asprilla Ramos","20","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Inti Raul","Asprilla Reyes","109","Representante a la Cámara","Alianza Verde","M",1981,0,"agree","agree","agree","agree","agree","agree",NA,NA,NA,NA,NA
"Donka","Atanassova Iakimova","107","Representante a la Cámara","Alianza Verde","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Marcos Antonio","Ataya Saray","101","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Melquiades","Atencia Gomez","102","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ismael Alfredo","Atencio Carvajalino","101","Representante a la Cámara","MIRA","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mario","Atencio Doria","104","Representante a la Cámara","Liberal Colombiano","M",1965,0,"agree","agree","disagree","agree","disagree","disagree",NA,NA,NA,NA,NA
"Lilia","Avella Bojacá","105","Representante a la Cámara","Polo Democrático Alternativo","F",1952,0,"","","","","","",NA,NA,NA,NA,NA
"Dayana Paola","Avendaño Bolaño","106","Representante a la Cámara","Alianza Social Independiente","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Fernando","Ávila Blanco","106","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Enrique ","Ávila Durán","102","Representante a la Cámara","Opción Ciudadana","M",1962,5,NA,NA,"","","","",NA,"","agree",NA,"agree"
"César Raúl","Avilés","80","Senador de la República","Cambio Radical","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Marco Aníbal","Avirama Avirama","201","Senador de la República","Alianza Social Independiente","M",1945,4,"","","","","","","","disagree","","","agree"
"Carlos Alberto","Baena López","3","Senador de la República","MIRA","M",1968,4,"disagree","","disagree","disagree","agree","disagree","agree","agree","disagree","","disagree"
"Maria Isabel","Ballesteros Mayorga","102","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"David","Ballesteros Palechor","105","Representante a la Cámara","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fernando","Ballesteros Valencia","045","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Dora Elena","Balvin Agudelo","116","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jeferson","Banguera Betancur","109","Representante a la Cámara","Alianza Verde","M",1986,0,"agree","agree","agree","agree","agree","agree",NA,NA,NA,NA,NA
"Hugo","Barajas Correa","106","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Wilmar Orlando","Barbosa Rozo","037","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"David Alejandro","Barguil Assis","101","Representante a la Cámara","Conservador Colombiano","M",1982,4,"","","","","","",NA,"","",NA,"agree"
"León Rigoberto","Barón Neira","021","Senador de la República","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gilberto","Barrera Garcia","46","Senador de la República","Polo Democrático Alternativo","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Bryan","Barrera García","98","Senador de la República","Cambio Radical","M",1982,0,"disagree","agree","agree","agree","disagree","disagree",NA,NA,NA,NA,NA
"Roy Leonardo","Barreras Montealegre","005","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","M",1963,8,"","","","","","","","agree","","",""
