"nombres","apellidos","numero.lista","corporacion","partido","genero","nacimiento","tiempo.congreso","La.eutanasia","El.sexo.antes.del.matrimonio","El.matrimonio.homosexual","El.divorcio","El.consumo.de.marihuana","El.aborto","Estatuto.de.la.Ciudadanía.Juvenil","Justicia.Penal.Militar..Fuero.Militar","Reforma.a.la.Justicia.Ejecutivo","Implementación.del.TLC.con.Estados.Unidos..Ley.Lleras.2.0","Ley.estatutaria.de.reforma.a.la.salud"
"Teresa","Moreno Mancera","57","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luz Adriana","Moreno Marmolejo","105","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ángel Alirio","Moreno Mateus","001","Senador de la República","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Cristobal","Moreno Palacios","302","Representante a la Cámara","Organización Etnicacomunitaria Afro Colombia - Oeca","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ana Cristina","Moreno Palacios","110","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fanny","Moreno Rojas","102","Representante a la Cámara","Polo Democrático Alternativo","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Marisol","Moreno Romero","","Senador de la República","MIRA","F",1975,0,"disagree",NA,NA,"disagree",NA,"disagree",NA,NA,NA,NA,NA
"Pedro León","Moreno Sierra","102","Representante a la Cámara","Opción Ciudadana","M",1959,0,"","","","","","",NA,NA,NA,NA,NA
"Christian Jose","Moreno Villamizar","104","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Orlando","Morera Cruz","117","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Sonia Marina","Moscote Aroca","074","Senador de la República","Liberal Colombiano","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Lays Yessenia","Mosquera Chamorro","42","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Teresa","Mosquera Florez","303","Representante a la Cámara","Sí Se Puede","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Orlando","Mosquera Forero","69","Senador de la República","Alianza Verde","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"John Edwar","Mosquera Hurtado","90","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mabel","Mosquera Mena","103","Representante a la Cámara","Conservador Colombiano","F",1969,0,"","","","","","",NA,NA,NA,NA,NA
"Ceferino","Mosquera Murillo","23","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Wagner Oneill","Mosquera Palacios","110","Representante a la Cámara","Alianza Social Independiente","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jesus Alberto","Mosquera Perea","103","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
