"MUN","DEP","OIZ","JMS","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR"
"ANGELOPOLIS","Antioquia",1560,594,116,16,67,5466,2353,"5036","OIZ"
"ANGOSTURA","Antioquia",2161,1220,129,62,160,8632,3732,"5038","OIZ"
"ANORI","Antioquia",984,1251,119,38,46,10215,2438,"5040","JMS"
"ANTIOQUIA","Antioquia",4720,3274,444,75,287,18537,8800,"5042","OIZ"
"ANZA","Antioquia",1764,550,80,24,38,5322,2456,"5044","OIZ"
"APARTADO","Antioquia",13232,22551,1661,137,531,82208,38112,"5045","JMS"
"ARBOLETES","Antioquia",3199,6917,116,71,91,21371,10394,"5051","JMS"
"ARGELIA","Antioquia",2522,353,45,12,36,6489,2968,"5055","OIZ"
"ARMENIA","Antioquia",1117,692,81,29,48,4831,1967,"5059","OIZ"
"BARBOSA","Antioquia",8484,6233,922,87,692,35505,16418,"5079","OIZ"
"BELLO","Antioquia",66136,48351,9959,402,6192,296790,131040,"5088","OIZ"
"BELMIRA","Antioquia",1045,818,104,12,82,4470,2061,"5086","OIZ"
"BETANIA","Antioquia",2725,477,102,34,58,8241,3396,"5091","OIZ"
"BETULIA","Antioquia",4521,937,145,57,80,12791,5740,"5093","OIZ"
"BOLIVAR","Antioquia",7196,1908,398,54,259,23204,9815,"5101","OIZ"
"BRICEÑO","Antioquia",784,365,67,15,48,5819,1279,"5107","OIZ"
"BURITICA","Antioquia",1273,752,89,24,57,6429,2195,"5113","OIZ"
"CACERES","Antioquia",2468,4980,191,46,127,19416,7812,"5120","JMS"
"CAICEDO","Antioquia",2295,409,82,29,67,5784,2882,"5125","OIZ"
"CALDAS","Antioquia",11694,13230,2473,116,1762,56075,29275,"5129","JMS"
"CAMPAMENTO","Antioquia",582,947,73,13,30,5911,1645,"5134","JMS"
"CAÑASGORDAS","Antioquia",4125,2608,145,53,125,12735,7056,"5138","OIZ"
"CARACOLI","Antioquia",878,804,59,16,33,4639,1790,"5142","OIZ"
"CARAMANTA","Antioquia",1374,1102,54,28,56,5141,2614,"5145","OIZ"
"CAREPA","Antioquia",6198,9669,569,64,186,38452,16686,"5147","JMS"
"CARMEN DE VIBORAL","Antioquia",10255,5484,1251,107,994,30575,18091,"5148","OIZ"
"CAROLINA","Antioquia",738,571,92,10,77,4034,1488,"5150","OIZ"
"CAUCASIA","Antioquia",10860,13122,1116,105,684,60554,25887,"5154","JMS"
"CHIGORODO","Antioquia",5497,12313,750,74,241,41610,18875,"5172","JMS"
"CISNEROS","Antioquia",2241,2202,203,49,153,11126,4848,"5190","OIZ"
"COCORNA","Antioquia",3640,2545,129,62,101,12475,6477,"5197","OIZ"
"CONCEPCION","Antioquia",1486,520,68,23,50,4452,2147,"5206","OIZ"
"CONCORDIA","Antioquia",5131,1175,240,120,113,15381,6779,"5209","OIZ"
"COPACABANA","Antioquia",11948,11345,2102,74,1398,56567,26867,"5212","OIZ"
"DABEIBA","Antioquia",2234,3402,148,68,99,15863,5951,"5234","JMS"
"DON MATIAS","Antioquia",5841,958,410,53,198,15845,7460,"5237","OIZ"
"EBEJICO","Antioquia",3672,1450,115,38,122,11122,5397,"5240","OIZ"
"EL BAGRE","Antioquia",5363,4126,444,50,267,33331,10250,"5250","OIZ"
"ENTRERRIOS","Antioquia",2381,763,284,18,108,7480,3554,"5264","OIZ"
"ENVIGADO","Antioquia",70219,29277,8426,199,4517,225101,112638,"5266","OIZ"
"FREDONIA","Antioquia",4449,2240,326,41,218,17648,7274,"5282","OIZ"
"FRONTINO","Antioquia",2040,3137,224,65,162,16096,5628,"5284","JMS"
"GIRALDO","Antioquia",1054,866,61,9,45,3669,2035,"5306","OIZ"
"GIRARDOTA","Antioquia",7260,9755,1451,90,1010,42867,19566,"5308","JMS"
"GOMEZ PLATA","Antioquia",1662,1080,221,23,126,7944,3112,"5310","OIZ"
"GRANADA","Antioquia",3303,1008,127,41,67,10006,4546,"5313","OIZ"
"GUADALUPE","Antioquia",664,1052,91,52,62,5501,1921,"5315","JMS"
"GUARNE","Antioquia",10599,4119,1135,283,918,28996,17054,"5318","OIZ"
"GUATAPE","Antioquia",2164,1147,197,18,118,6122,3644,"5321","OIZ"
"HELICONIA","Antioquia",1238,1169,106,31,78,5801,2622,"5347","OIZ"
"HISPANIA","Antioquia",1096,909,89,10,33,5104,2137,"5353","OIZ"
"ITAGUI","Antioquia",51059,44705,8031,469,4818,231363,109082,"5360","OIZ"
"ITUANGO","Antioquia",1599,2221,307,74,198,16942,4399,"5361","JMS"
"JARDIN","Antioquia",4248,1365,295,58,100,11441,6066,"5364","OIZ"
"JERICO","Antioquia",3814,1024,211,56,117,10975,5222,"5368","OIZ"
"LA CEJA","Antioquia",14825,6685,1808,116,1216,41178,24650,"5376","OIZ"
"LA ESTRELLA","Antioquia",11471,8534,1745,48,1263,48196,23061,"5380","OIZ"
"LA PINTADA","Antioquia",2032,929,82,30,68,6109,3141,"5390","OIZ"
"LA UNION","Antioquia",6065,2107,455,33,269,15294,8929,"5400","OIZ"
"LIBORINA","Antioquia",2892,1114,111,24,69,8849,4210,"5411","OIZ"
"MACEO","Antioquia",1446,1340,90,16,31,7253,2923,"5425","OIZ"
"MARINILLA","Antioquia",11985,6080,1039,75,695,36465,19874,"5440","OIZ"
"MEDELLIN","Antioquia",447208,208597,53554,2226,27408,1412495,738993,"5001","OIZ"
"MONTEBELLO","Antioquia",1779,746,135,44,71,5911,2775,"5467","OIZ"
"MURINDO","Antioquia",48,1060,3,14,2,2508,1127,"5475","JMS"
"MUTATA","Antioquia",1138,3279,99,20,47,12039,4583,"5480","JMS"
"NARIÑO","Antioquia",3274,554,60,42,46,8867,3976,"5483","OIZ"
"NECHI","Antioquia",3368,2473,97,41,68,17285,6047,"5495","OIZ"
"NECOCLI","Antioquia",4225,8849,196,92,164,30732,13526,"5490","JMS"
"OLAYA","Antioquia",946,302,40,8,19,2769,1315,"5501","OIZ"
"PEÑOL","Antioquia",4461,2025,246,23,124,14621,6879,"5541","OIZ"
"PEQUE","Antioquia",1406,1337,52,10,36,5638,2841,"5543","OIZ"
"PUEBLORRICO","Antioquia",2435,539,91,22,52,6824,3139,"5576","OIZ"
"PUERTO BERRIO","Antioquia",5927,4947,527,51,285,33297,11737,"5579","OIZ"
"PUERTO NARE-LA MAGDALENA","Antioquia",1405,3634,108,14,83,11662,5244,"5585","JMS"
"PUERTO TRIUNFO","Antioquia",3596,1719,178,38,99,12172,5630,"5591","OIZ"
"REMEDIOS","Antioquia",1817,1640,263,10,127,15888,3857,"5604","OIZ"
"RETIRO","Antioquia",5655,2178,460,49,285,14090,8627,"5607","OIZ"
"RIONEGRO","Antioquia",30605,14158,3622,175,2536,87238,51096,"5615","OIZ"
"SABANALARGA","Antioquia",2161,850,92,26,55,6723,3184,"5628","OIZ"
"SABANETA","Antioquia",16568,11298,2115,61,1120,54213,31162,"5631","OIZ"
"SALGAR","Antioquia",4099,667,105,62,87,13000,5020,"5642","OIZ"
"SAN ANDRES","Antioquia",1284,409,115,14,88,4862,1910,"5647","OIZ"
"SAN CARLOS","Antioquia",2756,3086,122,48,98,12760,6110,"5649","JMS"
"SAN FRANCISCO","Antioquia",1186,1142,42,20,36,5950,2426,"5652","OIZ"
"SAN JERONIMO","Antioquia",3068,1654,199,26,136,11716,5083,"5656","OIZ"
"SAN JOSE DE LA MONTAÑA","Antioquia",911,401,75,11,40,3063,1438,"5658","OIZ"
"SAN JUAN DE URABA","Antioquia",1565,5596,57,57,64,15618,7339,"5659","JMS"
"SAN LUIS","Antioquia",3099,1375,139,31,71,10126,4715,"5660","OIZ"
"SAN PEDRO","Antioquia",5931,1564,706,37,479,17715,8717,"5664","OIZ"
"SAN PEDRO DE URABA","Antioquia",4229,5210,129,60,119,23674,9747,"5665","JMS"
"SAN RAFAEL","Antioquia",2859,2558,263,53,148,11793,5881,"5667","OIZ"
"SAN ROQUE","Antioquia",3786,1479,215,66,118,13752,5664,"5670","OIZ"
"SAN VICENTE","Antioquia",6698,1496,270,49,224,15748,8737,"5674","OIZ"
"SANTA BARBARA","Antioquia",5177,2890,493,63,322,21397,8945,"5679","OIZ"
"SANTA ROSA DE OSOS","Antioquia",9220,2398,823,127,570,24207,13138,"5686","OIZ"
"SANTO DOMINGO","Antioquia",2322,1454,162,52,121,8481,4111,"5690","OIZ"
"SANTUARIO","Antioquia",10412,2716,502,87,295,25148,14012,"5697","OIZ"
"SEGOVIA","Antioquia",2166,2669,433,20,166,24294,5454,"5736","JMS"
"SONSON","Antioquia",9845,2286,568,98,285,26652,13082,"5756","OIZ"
"SOPETRAN","Antioquia",2781,2248,191,43,211,11498,5474,"5761","OIZ"
"TAMESIS","Antioquia",4241,1703,314,47,208,14122,6513,"5789","OIZ"
"TARAZA","Antioquia",2173,4786,276,39,227,24855,7501,"5790","JMS"
"TARSO","Antioquia",1228,1245,69,23,105,5647,2670,"5792","JMS"
"TITIRIBI","Antioquia",1486,1515,168,32,110,8664,3311,"5809","JMS"
"TOLEDO","Antioquia",997,382,101,30,67,4226,1577,"5819","OIZ"
"TURBO","Antioquia",10209,25888,738,142,411,78990,37388,"5837","JMS"
"URAMITA","Antioquia",893,1540,46,16,57,6039,2552,"5842","JMS"
"URRAO","Antioquia",4972,2223,420,99,193,21012,7907,"5847","OIZ"
"VALDIVIA","Antioquia",1248,1732,95,31,119,11471,3225,"5854","JMS"
"VALPARAISO","Antioquia",1341,1153,93,15,76,5654,2678,"5856","OIZ"
"VEGACHI","Antioquia",2181,937,129,27,69,9973,3343,"5858","OIZ"
