"MUN","DEP","OIZ","JMS","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR"
"BOLIVIA","Consulados",116,58,2,0,2,695,178,"68","OIZ"
"BRASIL","Consulados",230,423,27,0,3,2047,683,"76","JMS"
"CANADA","Consulados",2210,2038,212,1,17,15466,4478,"124","OIZ"
"CHILE","Consulados",549,584,65,0,9,4304,1207,"152","JMS"
"CHINA REPUBLICA POPULAR","Consulados",48,91,11,0,1,415,151,"156","JMS"
"CHIPRE","Consulados",11,3,0,0,0,42,14,"196","OIZ"
"COREA DEL SUR","Consulados",6,20,0,0,0,97,26,"410","JMS"
"COSTA RICA","Consulados",1215,516,55,0,11,7400,1797,"188","OIZ"
"CUBA","Consulados",4,28,2,1,0,198,35,"192","JMS"
"CURAZAO","Consulados",167,94,13,0,2,1286,276,NA,"OIZ"
"DINAMARCA","Consulados",0,13,0,0,0,58,13,"208","JMS"
"ECUADOR","Consulados",2318,1813,150,12,74,21324,4367,"218","OIZ"
"EGIPTO","Consulados",5,16,1,0,0,95,22,"818","JMS"
"EL SALVADOR","Consulados",99,74,11,0,1,472,185,"222","OIZ"
"EMIRATOS ARABES UNIDOS","Consulados",350,50,31,0,10,789,441,"784","OIZ"
"ESPAÑA","Consulados",4462,3607,475,4,56,80641,8604,"724","OIZ"
"ESTADOS UNIDOS","Consulados",30011,8872,746,19,72,183108,39720,"840","OIZ"
"FILIPINAS","Consulados",11,10,0,0,0,71,21,"608","OIZ"
"FINLANDIA","Consulados",11,23,2,0,0,60,36,"246","JMS"
"FRANCIA","Consulados",398,1267,88,1,13,6805,1767,"250","JMS"
"GRECIA","Consulados",14,9,3,0,0,49,26,"300","OIZ"
"GUATEMALA","Consulados",195,77,13,0,0,706,285,"320","OIZ"
"HOLANDA","Consulados",107,183,20,0,0,1537,310,"528","JMS"
"HONDURAS","Consulados",59,26,4,0,1,432,90,"340","OIZ"
"INDIA","Consulados",0,16,0,0,0,81,16,"356","JMS"
"INDONESIA","Consulados",38,41,3,0,0,193,82,"360","JMS"
"INGLATERRA","Consulados",739,952,76,0,3,8850,1770,"826","JMS"
"IRLANDA","Consulados",16,32,1,0,0,98,49,"372","JMS"
"ISRAEL","Consulados",49,38,5,0,1,744,93,"376","OIZ"
"ITALIA","Consulados",256,330,36,0,5,4720,627,"380","JMS"
"JAMAICA","Consulados",25,24,9,0,0,287,58,"388","OIZ"
"JAPON","Consulados",48,43,13,0,0,776,104,"392","OIZ"
"KENIA","Consulados",5,13,2,0,0,62,20,"404","JMS"
"LIBANO","Consulados",31,64,1,0,0,653,96,"422","JMS"
"MALASIA","Consulados",20,21,4,0,0,105,45,"458","JMS"
"MARRUECOS","Consulados",8,10,0,0,0,16,18,"504","JMS"
"MEXICO","Consulados",631,647,25,0,4,4129,1307,"484","JMS"
"NICARAGUA","Consulados",31,40,1,0,0,214,72,"558","JMS"
"NORUEGA","Consulados",15,25,3,0,0,105,43,"578","JMS"
"NUEVA ZELANDIA","Consulados",32,62,12,0,0,185,106,"554","JMS"
"PANAMA","Consulados",1323,571,63,0,4,10473,1961,"591","OIZ"
"PARAGUAY","Consulados",54,20,1,0,1,258,76,"600","OIZ"
"PERU","Consulados",510,367,50,0,3,2721,930,"604","OIZ"
"POLONIA","Consulados",19,18,3,0,0,108,40,"616","OIZ"
"PORTUGAL","Consulados",25,67,7,0,0,332,99,"620","JMS"
"PUERTO RICO","Consulados",222,106,6,0,2,1196,336,"630","OIZ"
"REPUBLICA DOMINICANA","Consulados",297,163,17,0,0,1710,477,"214","OIZ"
"RUSIA","Consulados",11,46,7,0,0,246,64,"643","JMS"
"SUDAFRICA","Consulados",34,25,8,0,0,186,67,"710","OIZ"
"SUECIA","Consulados",74,177,9,0,2,1075,262,"752","JMS"
"SUIZA","Consulados",213,356,23,0,2,2486,594,"756","JMS"
"TAILANDIA","Consulados",8,21,2,0,0,52,31,"764","JMS"
"TRINIDAD Y TOBAGO","Consulados",27,31,1,0,0,103,59,"780","JMS"
"TURQUIA","Consulados",19,11,1,0,0,72,31,"792","OIZ"
"URUGUAY","Consulados",50,83,9,0,3,388,145,"858","JMS"
"VENEZUELA","Consulados",14876,16722,178,53,235,171944,32064,"862","JMS"
