"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR","VOTOS","BLANCOS.POR.CIENTO","ABTENCION"
"SAN CRISTOBAL","Bolívar",76,214,25,1683,18,25,3,6,6053,2050,"13620","JMS",2050,1.21951219512195,66.132496282835
"SAN ESTANISLAO","Bolívar",265,1096,188,2481,84,120,12,47,13563,4293,"13647","JMS",4293,2.79524807826695,68.3477106834771
"SAN FERNANDO","Bolívar",145,682,49,1127,10,24,8,30,7833,2075,"13650","JMS",2075,1.1566265060241,73.5095110430231
"SAN JACINTO","Bolívar",311,3257,307,3518,93,148,232,76,19368,7942,"13654","JMS",7942,1.86351045076807,58.9942172655927
"SAN JACINTO DEL CAUCA","Bolívar",86,927,51,846,24,33,9,11,6563,1987,"13655","OIZ",1987,1.66079516859587,69.7242114886485
"SAN JUAN NEPOMUCENO","Bolívar",417,4109,297,3291,175,220,25,100,29049,8634,"13657","OIZ",8634,2.54806578642576,70.2778064649385
"SAN MARTIN DE LOBA","Bolívar",367,1226,190,1126,45,44,2,34,10366,3034,"13667","OIZ",3034,1.4502307185234,70.7312367354814
"SAN PABLO","Bolívar",578,1385,676,1548,88,450,45,101,16328,4871,"13670","JMS",4871,9.23834941490454,70.1678098971093
"SANTA CATALINA","Bolívar",262,428,108,1970,51,70,6,22,11136,2917,"13673","JMS",2917,2.39972574562907,73.8056752873563
"SANTA ROSA","Bolívar",136,534,105,951,60,398,27,50,12294,2261,"13683","JMS",2261,17.6028306059266,81.6089149178461
"SANTA ROSA DEL SUR","Bolívar",767,2799,1281,1120,177,284,23,115,16803,6566,"13688","OIZ",6566,4.32531221443801,60.9236445872761
"SIMITI","Bolívar",466,1310,518,1179,64,112,18,62,11814,3729,"13744","OIZ",3729,3.0034861893269,68.4357541899441
"SOPLAVIENTO","Bolívar",254,243,75,2037,49,49,6,16,7765,2729,"13760","JMS",2729,1.79552949798461,64.8551191242756
"TALAIGUA NUEVO","Bolívar",174,1140,97,1675,46,36,6,10,8649,3184,"13780","JMS",3184,1.13065326633166,63.1864955486183
"TIQUISIO (PTO. RICO)","Bolívar",115,1785,87,1084,40,42,9,33,11548,3195,"13810","OIZ",3195,1.31455399061033,72.3328714928992
"TURBACO","Bolívar",2010,3254,1423,3909,895,734,33,182,55375,12440,"13836","JMS",12440,5.90032154340836,77.5349887133183
"TURBANA","Bolívar",321,1104,349,1680,177,136,11,40,13563,3818,"13838","JMS",3818,3.5620743844945,71.8498857184989
"VILLANUEVA","Bolívar",402,2317,167,1762,84,123,18,96,14210,4969,"13873","OIZ",4969,2.47534715234454,65.0316678395496
"ZAMBRANO","Bolívar",101,376,59,3317,23,63,9,31,8536,3979,"13894","JMS",3979,1.58331239004775,53.3856607310216
"ALMEIDA","Boyacá",58,460,50,109,17,19,3,22,1867,738,"15022","OIZ",738,2.57452574525745,60.4713444027852
"AQUITANIA (PUEBLOVIEJO)","Boyacá",421,3467,1168,300,127,86,32,126,12252,5727,"15047","OIZ",5727,1.50165880914964,53.256611165524
"ARCABUCO","Boyacá",302,483,559,348,71,81,9,99,4415,1952,"15051","MLR",1952,4.14959016393443,55.7870894677237
"BELEN","Boyacá",544,542,1142,364,113,122,14,80,6658,2921,"15087","MLR",2921,4.17665183156453,56.1279663562631
"BERBEO","Boyacá",84,151,66,90,39,42,1,10,1466,483,"15090","OIZ",483,8.69565217391304,67.0532060027285
"BETEITIVA","Boyacá",98,183,151,215,43,41,5,15,1884,751,"15092","JMS",751,5.45938748335553,60.1380042462845
"BOAVITA","Boyacá",194,1043,451,325,43,41,8,35,5150,2140,"15097","OIZ",2140,1.91588785046729,58.4466019417476
"BOYACA","Boyacá",263,300,169,230,80,33,14,39,4001,1128,"15104","OIZ",1128,2.92553191489362,71.8070482379405
"BRICEÑO","Boyacá",42,341,148,279,15,23,5,11,1977,864,"15106","OIZ",864,2.66203703703704,56.2974203338391
"BUENAVISTA","Boyacá",125,803,250,562,96,50,20,32,4503,1938,"15109","OIZ",1938,2.57997936016512,56.9620253164557
"BUSBANZA","Boyacá",38,76,184,51,21,13,4,5,763,392,"15114","MLR",392,3.31632653061224,48.6238532110092
"CALDAS","Boyacá",162,344,278,203,29,77,7,32,3072,1132,"15131","OIZ",1132,6.80212014134276,63.1510416666667
"CAMPOHERMOSO","Boyacá",74,659,142,149,27,42,4,9,2502,1106,"15135","OIZ",1106,3.79746835443038,55.7953637090328
"CERINZA","Boyacá",385,334,593,158,77,62,7,58,3303,1674,"15162","MLR",1674,3.7037037037037,49.3188010899183
"CHINAVITA","Boyacá",136,556,200,214,30,32,4,14,3101,1186,"15172","OIZ",1186,2.69814502529511,61.7542728152209
"CHIQUINQUIRA","Boyacá",3275,5064,4200,2956,1279,960,36,438,38741,18208,"15176","OIZ",18208,5.27240773286468,53.0006969360626
"CHIQUIZA","Boyacá",178,158,121,361,77,84,14,129,4236,1122,"15232","JMS",1122,7.48663101604278,73.5127478753541
"CHISCAS","Boyacá",78,1116,28,246,19,22,9,32,3542,1550,"15180","OIZ",1550,1.41935483870968,56.2394127611519
"CHITA","Boyacá",163,2337,115,150,41,67,19,66,6430,2958,"15183","OIZ",2958,2.26504394861393,53.9968895800933
"CHITARAQUE","Boyacá",118,758,154,487,20,40,16,32,5240,1625,"15185","OIZ",1625,2.46153846153846,68.9885496183206
"CHIVATA","Boyacá",193,190,441,116,164,25,2,26,2545,1157,"15187","MLR",1157,2.16076058772688,54.5383104125737
"CHIVOR","Boyacá",26,396,164,145,14,20,4,8,1778,777,"15236","OIZ",777,2.57400257400257,56.2992125984252
"CIENEGA","Boyacá",119,847,582,94,62,54,9,28,3757,1795,"15189","OIZ",1795,3.008356545961,52.2225179664626
"COMBITA","Boyacá",691,581,795,443,297,95,7,111,8320,3020,"15204","MLR",3020,3.14569536423841,63.7019230769231
"COPER","Boyacá",66,320,264,617,20,47,6,19,3240,1359,"15212","JMS",1359,3.45842531272995,58.0555555555556
"CORRALES","Boyacá",223,217,373,109,80,49,3,29,2170,1083,"15215","MLR",1083,4.52446906740536,50.0921658986175
"COVARACHIA","Boyacá",54,927,83,105,21,13,11,14,3177,1228,"15218","OIZ",1228,1.0586319218241,61.3471828769279
"CUBARA","Boyacá",248,436,207,394,32,88,20,51,4575,1476,"15223","OIZ",1476,5.96205962059621,67.7377049180328
"CUCAITA","Boyacá",279,144,703,133,77,50,5,26,2988,1417,"15224","MLR",1417,3.52858151023289,52.5769745649264
"CUITIVA","Boyacá",110,326,238,142,31,21,4,13,1870,885,"15226","OIZ",885,2.3728813559322,52.6737967914438
"DUITAMA","Boyacá",12109,9798,7653,4570,5660,2044,50,1223,79112,43107,"15238","CL",43107,4.74168928480293,45.5114268379007
"EL COCUY","Boyacá",112,1084,233,107,33,67,9,41,3711,1686,"15244","OIZ",1686,3.97390272835113,54.5675020210186
"EL ESPINO","Boyacá",32,834,189,71,12,13,6,7,2244,1164,"15248","OIZ",1164,1.11683848797251,48.1283422459893
"FIRAVITOBA","Boyacá",598,338,538,259,132,57,9,46,5540,1977,"15272","CL",1977,2.88315629742033,64.3140794223827
"FLORESTA","Boyacá",129,425,580,142,83,43,11,19,3045,1432,"15276","MLR",1432,3.00279329608939,52.9720853858785
"GACHANTIVA","Boyacá",146,385,328,223,49,32,8,33,2766,1204,"15293","OIZ",1204,2.6578073089701,56.47143890094
"GAMEZA","Boyacá",188,563,539,148,54,44,7,45,4044,1588,"15296","OIZ",1588,2.77078085642317,60.7319485657765
"GARAGOA","Boyacá",873,1670,1150,811,285,237,13,148,11535,5187,"15299","OIZ",5187,4.56911509543088,55.0325097529259
"GUACAMAYAS","Boyacá",29,636,80,28,5,12,5,7,1642,802,"15317","OIZ",802,1.49625935162095,51.15712545676
"GUATEQUE","Boyacá",525,1043,565,891,293,213,22,111,8798,3663,"15322","OIZ",3663,5.81490581490582,58.3655376221869
"GUAYATA","Boyacá",105,794,431,239,46,45,4,22,3876,1686,"15325","OIZ",1686,2.66903914590747,56.5015479876161
"GUICAN","Boyacá",107,995,184,81,56,57,17,32,2992,1529,"15332","OIZ",1529,3.72792674950948,48.8970588235294
"IZA","Boyacá",190,331,214,98,73,25,0,15,2115,946,"15362","OIZ",946,2.64270613107822,55.2718676122931
"JENESANO","Boyacá",332,572,208,398,88,72,18,63,5296,1751,"15367","OIZ",1751,4.11193603655054,66.9373111782477
"JERICO","Boyacá",81,986,71,132,25,22,15,34,3094,1366,"15368","OIZ",1366,1.61054172767204,55.8500323206206
"LA CAPILLA","Boyacá",158,373,254,145,45,47,7,22,2574,1051,"15380","OIZ",1051,4.47193149381541,59.1686091686092
"LA UVITA","Boyacá",47,675,282,119,34,21,4,22,2512,1204,"15403","OIZ",1204,1.74418604651163,52.0700636942675
"LA VICTORIA","Boyacá",16,164,14,339,6,16,7,4,1478,566,"15401","JMS",566,2.82685512367491,61.7050067658999
"LABRANZAGRANDE","Boyacá",69,817,64,114,17,15,14,15,2670,1125,"15377","OIZ",1125,1.33333333333333,57.8651685393258
"MACANAL","Boyacá",169,731,279,183,53,40,11,50,3533,1516,"15425","OIZ",1516,2.63852242744063,57.0902915369374
"MARIPI","Boyacá",95,1025,196,820,23,36,7,39,6561,2241,"15442","OIZ",2241,1.60642570281124,65.843621399177
"MIRAFLORES","Boyacá",705,990,340,947,307,428,18,86,7548,3821,"15455","OIZ",3821,11.2012562156504,49.3773184949656
"MONGUA","Boyacá",168,1418,352,103,58,29,14,44,3841,2186,"15464","OIZ",2186,1.32662397072278,43.0877375683416
"MONGUI","Boyacá",553,544,322,160,66,39,1,28,3436,1713,"15466","CL",1713,2.27670753064799,50.1455180442375
"MONIQUIRA","Boyacá",1553,2059,1245,1195,305,259,31,257,16776,6904,"15469","OIZ",6904,3.75144843568946,58.8459704339533
"MOTAVITA","Boyacá",463,364,291,405,230,89,6,101,4759,1949,"15476","CL",1949,4.56644433042586,59.0460180710233
"MUZO","Boyacá",188,1157,574,653,58,107,20,103,6961,2860,"15480","OIZ",2860,3.74125874125874,58.9139491452378
"NOBSA","Boyacá",2303,855,1116,824,626,235,6,145,10901,6110,"15491","CL",6110,3.84615384615385,43.9500963214384
"NUEVO COLON","Boyacá",332,350,352,273,99,109,7,66,4437,1588,"15494","MLR",1588,6.8639798488665,64.2100518368267
"OICATA","Boyacá",252,176,268,144,107,27,1,24,2290,999,"15500","MLR",999,2.7027027027027,56.3755458515284
"OTANCHE","Boyacá",153,1774,221,328,64,92,21,59,6353,2712,"15507","OIZ",2712,3.39233038348083,57.311506374941
"PACHAVITA","Boyacá",83,417,184,93,36,32,6,13,1994,864,"15511","OIZ",864,3.7037037037037,56.6700100300903
"PAEZ","Boyacá",43,573,55,481,36,49,8,13,2265,1258,"15514","OIZ",1258,3.89507154213037,44.4591611479029
"PAIPA","Boyacá",2183,2458,1827,1637,1691,674,22,448,23614,10940,"15516","OIZ",10940,6.16087751371115,53.671550774964
"PAJARITO","Boyacá",63,490,42,101,21,18,7,4,1612,746,"15518","OIZ",746,2.41286863270777,53.7220843672457
"PANQUEBA","Boyacá",28,530,84,49,4,10,6,6,1516,717,"15522","OIZ",717,1.39470013947001,52.7044854881267
"PAUNA","Boyacá",195,1184,555,688,56,85,23,99,6759,2885,"15531","OIZ",2885,2.94627383015598,57.3161710312176
"PAYA","Boyacá",39,285,241,49,15,18,5,16,1284,668,"15533","OIZ",668,2.69461077844311,47.9750778816199
"PAZ DE RIO","Boyacá",507,172,328,304,284,81,7,42,4418,1725,"15537","CL",1725,4.69565217391304,60.9551833408782
"PESCA","Boyacá",310,778,734,301,70,66,10,57,6147,2326,"15542","OIZ",2326,2.83748925193465,62.1604034488368
"PISBA","Boyacá",34,289,35,64,29,11,7,9,968,478,"15550","OIZ",478,2.30125523012552,50.6198347107438
"PUERTO BOYACA","Boyacá",1645,4092,2490,2888,864,674,83,626,31446,13362,"15572","OIZ",13362,5.0441550666068,57.5081091394772
"QUIPAMA","Boyacá",99,1079,249,363,38,40,19,60,4842,1947,"15580","OIZ",1947,2.05444273240883,59.7893432465923
"RAMIRIQUI","Boyacá",494,1233,646,576,184,143,4,100,8433,3380,"15599","OIZ",3380,4.23076923076923,59.919364401755
"RAQUIRA","Boyacá",277,653,679,322,69,87,16,65,4405,2168,"15600","MLR",2168,4.01291512915129,50.783200908059
"RONDON","Boyacá",67,416,180,203,44,40,2,22,2246,974,"15621","OIZ",974,4.10677618069815,56.6340160284951
"SABOYA","Boyacá",461,1333,1023,780,168,195,25,137,9419,4122,"15632","OIZ",4122,4.73071324599709,56.2373925045122
"SACHICA","Boyacá",275,287,298,412,99,56,7,55,3126,1489,"15638","JMS",1489,3.76091336467428,52.3672424824056
"SAMACA","Boyacá",1091,905,1546,998,431,438,27,258,12663,5694,"15646","MLR",5694,7.69230769230769,55.0343520492774
"SAN EDUARDO","Boyacá",60,247,116,114,36,69,36,8,1423,686,"15660","OIZ",686,10.0583090379009,51.791988756149
"SAN JOSE DE PARE","Boyacá",121,724,238,426,62,77,50,41,5155,1739,"15664","OIZ",1739,4.42783208740656,66.2657613967022
"SAN LUIS DE GACENO","Boyacá",163,1153,314,233,67,38,20,40,4485,2028,"15667","OIZ",2028,1.87376725838264,54.7826086956522
"SAN MATEO","Boyacá",62,1305,164,132,29,21,3,20,3708,1736,"15673","OIZ",1736,1.20967741935484,53.1823085221143
"SAN MIGUEL DE SEMA","Boyacá",84,267,472,211,43,39,7,28,2722,1151,"15676","MLR",1151,3.38835794960904,57.7149155033064
"SAN PABLO DE BORBUR","Boyacá",92,1644,145,286,39,56,21,57,5775,2340,"15681","OIZ",2340,2.39316239316239,59.4805194805195
"SANTA MARIA","Boyacá",171,501,291,228,61,74,14,76,3377,1416,"15690","OIZ",1416,5.22598870056497,58.0692922712467
"SANTA ROSA DE VITERBO","Boyacá",602,1165,1364,415,337,156,5,92,7720,4136,"15693","MLR",4136,3.77176015473888,46.4248704663212
"SANTA SOFIA","Boyacá",82,488,365,198,34,51,11,29,2960,1258,"15696","OIZ",1258,4.05405405405405,57.5
"SANTANA","Boyacá",212,724,254,926,60,81,10,36,6514,2303,"15686","JMS",2303,3.51715154146765,64.6453791832975
"SATIVANORTE","Boyacá",54,456,140,210,20,17,8,15,2368,920,"15720","OIZ",920,1.84782608695652,61.1486486486486
"SATIVASUR","Boyacá",39,82,184,90,15,8,2,15,1228,435,"15723","MLR",435,1.83908045977011,64.5765472312704
"SIACHOQUE","Boyacá",476,930,732,188,357,72,8,106,6011,2869,"15740","OIZ",2869,2.50958522133147,52.2708367992015
"SOATA","Boyacá",337,1465,949,1019,70,84,7,80,7203,4011,"15753","OIZ",4011,2.09424083769634,44.3148688046647
"SOCHA","Boyacá",533,656,497,283,121,121,11,84,6118,2306,"15757","OIZ",2306,5.24718126626193,62.3079437724747
"SOCOTA","Boyacá",196,1568,189,367,40,70,22,67,5885,2519,"15755","OIZ",2519,2.77888050813815,57.196261682243
"SOGAMOSO","Boyacá",14459,9901,7468,5736,3817,1741,64,1040,84787,44226,"15759","CL",44226,3.93659838104283,47.8387016877587
"SOMONDOCO","Boyacá",203,497,192,160,54,36,4,19,2827,1165,"15761","OIZ",1165,3.09012875536481,58.7902370003537
"SORA","Boyacá",194,186,297,319,73,62,10,57,2431,1198,"15762","JMS",1198,5.17529215358932,50.7198683669272
"SORACA","Boyacá",453,433,922,208,268,46,9,72,5044,2411,"15764","MLR",2411,1.90792202405641,52.2006344171293
"SOTAQUIRA","Boyacá",266,536,612,284,195,45,6,67,5174,2011,"15763","MLR",2011,2.23769269020388,61.1325860069579
"SUSACON","Boyacá",54,371,544,77,30,16,16,40,2581,1148,"15774","MLR",1148,1.39372822299652,55.5211158465711
"SUTAMARCHAN","Boyacá",190,866,502,444,88,91,16,46,4949,2243,"15776","OIZ",2243,4.05706642888988,54.6777126692261
"SUTATENZA","Boyacá",158,698,235,245,72,57,18,48,3597,1531,"15778","OIZ",1531,3.72305682560418,57.4367528495969
"TASCO","Boyacá",382,410,154,580,105,61,14,51,4968,1757,"15790","JMS",1757,3.47182697780307,64.633655394525
"TENZA","Boyacá",123,594,263,207,82,52,12,73,3478,1406,"15798","OIZ",1406,3.69843527738265,59.5744680851064
"TIBANA","Boyacá",462,609,232,767,80,80,17,102,7410,2349,"15804","JMS",2349,3.40570455512984,68.2995951417004
"TIBASOSA","Boyacá",1061,821,1151,497,264,150,11,140,7716,4095,"15806","MLR",4095,3.66300366300366,46.9284603421462
"TINJACA","Boyacá",176,260,481,213,42,55,3,25,2559,1255,"15808","MLR",1255,4.38247011952191,50.9574052364205
"TIPACOQUE","Boyacá",73,651,65,459,57,40,10,29,3260,1384,"15810","OIZ",1384,2.89017341040462,57.5460122699387
"TOCA","Boyacá",612,764,696,435,189,172,8,84,6746,2960,"15814","OIZ",2960,5.81081081081081,56.1221464571598
"TOGUI","Boyacá",115,342,349,399,25,56,14,60,4190,1360,"15816","JMS",1360,4.11764705882353,67.5417661097852
"TOPAGA","Boyacá",258,514,439,182,64,33,3,44,2796,1537,"15820","OIZ",1537,2.14703968770332,45.0286123032904
"TOTA","Boyacá",127,858,201,294,44,33,19,47,3953,1623,"15822","OIZ",1623,2.03327171903882,58.9425752592967
"TUNJA","Boyacá",18696,8024,11523,8779,7469,2671,56,1312,108550,58530,"15001","CL",58530,4.56347172390227,46.0801473975127
"TUNUNGUA","Boyacá",38,136,48,270,13,21,0,10,1234,536,"15832","JMS",536,3.91791044776119,56.5640194489465
"TURMEQUE","Boyacá",658,375,350,436,76,181,10,71,5703,2157,"15835","CL",2157,8.39128419100603,62.1778011572856
"TUTA","Boyacá",747,533,1355,406,207,99,8,60,6865,3415,"15837","MLR",3415,2.89897510980966,50.2549162418063
"TUTAZA","Boyacá",173,285,220,67,40,24,4,65,1759,878,"15839","OIZ",878,2.73348519362187,50.0852757248437
"UMBITA","Boyacá",223,1409,804,309,77,101,15,71,5850,3009,"15842","OIZ",3009,3.35659687603855,48.5641025641026
"VENTAQUEMADA","Boyacá",879,774,1923,263,185,113,27,135,10549,4299,"15861","MLR",4299,2.62851826006048,59.2473220210446
"VILLA DE LEIVA","Boyacá",865,1345,581,1205,625,234,19,143,9480,5017,"15407","OIZ",5017,4.66414191748057,47.07805907173
"VIRACACHA","Boyacá",102,339,477,112,52,32,12,42,2580,1168,"15879","MLR",1168,2.73972602739726,54.7286821705426
"ZETAQUIRA","Boyacá",158,473,128,297,65,101,3,24,3771,1249,"15897","OIZ",1249,8.08646917534027,66.8788119862106
"AGUADAS","Caldas",419,4053,1692,1196,199,319,127,350,18626,8355,"17013","OIZ",8355,3.81807301017355,55.1433480081606
"ANSERMA","Caldas",837,7347,2342,1278,400,574,68,531,27331,13377,"17042","OIZ",13377,4.29094714809001,51.0555779151879
"ARANZAZU","Caldas",212,2437,1178,654,194,220,47,306,11333,5248,"17050","OIZ",5248,4.19207317073171,53.6927556692844
"BELALCAZAR","Caldas",198,1814,883,1018,82,145,36,102,9981,4278,"17088","OIZ",4278,3.38943431510051,57.1385632702134
"CHINCHINA","Caldas",2159,6992,3064,3621,1235,1030,119,739,41818,18959,"17174","OIZ",18959,5.43277599029485,54.6630637524511
"FILADELFIA","Caldas",286,1479,567,1188,136,188,35,77,9505,3956,"17272","OIZ",3956,4.75227502527806,58.3798001052078
"LA DORADA","Caldas",2074,9700,2312,5731,938,1064,87,1222,56579,23128,"17380","OIZ",23128,4.60048426150121,59.1226426766115
"LA MERCED","Caldas",134,600,917,493,43,66,15,49,5612,2317,"17388","MLR",2317,2.8485110056107,58.7134711332858
"MANIZALES","Caldas",28515,48244,26488,24797,16830,11472,463,5357,311783,162166,"17001","OIZ",162166,7.07423257649569,47.9875426177822
"MANZANARES","Caldas",178,4228,692,1118,108,213,47,166,15257,6750,"17433","OIZ",6750,3.15555555555556,55.7580127154749
"MARMATO","Caldas",538,684,270,294,70,110,17,102,6275,2085,"17442","OIZ",2085,5.2757793764988,66.7729083665339
"MARQUETALIA","Caldas",105,3792,917,392,55,107,42,104,11221,5514,"17444","OIZ",5514,1.9405150525934,50.859994652883
"MARULANDA","Caldas",25,624,252,179,21,35,15,24,2674,1175,"17446","OIZ",1175,2.97872340425532,56.058339566193
"NEIRA","Caldas",540,3965,1062,1609,457,578,82,406,18885,8699,"17486","OIZ",8699,6.6444418898724,53.9369870267408
"NORCASIA","Caldas",137,923,198,945,40,123,26,77,5564,2469,"17495","JMS",2469,4.98177399756987,55.6254493170381
"PACORA","Caldas",212,2389,730,1280,227,206,70,147,11902,5261,"17513","OIZ",5261,3.91560539821327,55.7973449840363
"PALESTINA","Caldas",350,2253,799,2149,201,265,42,195,15055,6254,"17524","OIZ",6254,4.23728813559322,58.4589837263368
"PENSILVANIA","Caldas",188,6537,489,911,83,216,81,194,16824,8699,"17541","OIZ",8699,2.4830440280492,48.294103661436
"RIOSUCIO","Caldas",2577,6985,1714,2554,535,727,155,638,36715,15885,"17614","OIZ",15885,4.57664463330186,56.7343047800626
"RISARALDA","Caldas",259,2428,643,760,88,191,45,108,10646,4522,"17616","OIZ",4522,4.22379478107032,57.5239526582754
"SALAMINA","Caldas",418,3032,704,1335,213,276,54,137,15417,6169,"17653","OIZ",6169,4.47398281731237,59.9857300382694
"SAMANA","Caldas",225,4172,482,1656,96,185,56,153,16062,7025,"17662","OIZ",7025,2.63345195729537,56.2632299838127
"SAN JOSE","Caldas",62,1031,617,386,63,78,132,30,4815,2399,"17665","OIZ",2399,3.25135473113797,50.1765316718588
"SUPIA","Caldas",1129,3632,914,1307,302,483,252,666,20395,8685,"17777","OIZ",8685,5.56131260794473,57.4160333415053
"VICTORIA","Caldas",115,1821,301,1314,100,110,30,85,8297,3876,"17867","OIZ",3876,2.83797729618163,53.2843196336025
"VILLAMARIA","Caldas",2598,5743,3285,3872,1552,1295,99,686,36472,19130,"17873","OIZ",19130,6.76947203345531,47.548804562404
"VITERBO","Caldas",381,3739,779,658,389,191,34,142,12584,6313,"17877","OIZ",6313,3.02550293046095,49.8331214240305
"ALBANIA","Caquetá",109,829,192,191,56,57,3,26,3717,1463,"18029","OIZ",1463,3.8961038961039,60.6403013182674
"BELEN DE LOS ANDAQUIES","Caquetá",293,1547,283,328,148,132,28,55,7297,2814,"18094","OIZ",2814,4.6908315565032,61.4362066602713
"CARTAGENA DEL CHAIRA","Caquetá",972,897,356,983,116,256,21,91,16691,3692,"18150","JMS",3692,6.93391115926327,77.8802947696363
"CURILLO","Caquetá",105,1124,121,351,67,101,19,29,7284,1917,"18205","OIZ",1917,5.26864893062076,73.6820428336079
"EL DONCELLO","Caquetá",540,2801,623,907,190,239,31,120,15487,5451,"18247","OIZ",5451,4.38451660245826,64.8027377800736
"EL PAUJIL","Caquetá",277,1305,219,655,119,144,31,72,11413,2822,"18256","OIZ",2822,5.10276399716513,75.2738105668974
"FLORENCIA","Caquetá",5199,27127,4033,6040,3384,2303,193,861,108549,49140,"18001","OIZ",49140,4.68660968660969,54.7301218804411
"LA MONTAÑITA","Caquetá",415,870,138,441,96,110,16,45,9646,2131,"18410","OIZ",2131,5.16189582355702,77.9079411154883
"MILAN","Caquetá",109,587,168,274,76,71,11,18,6479,1314,"18460","OIZ",1314,5.40334855403349,79.719092452539
"MORELIA","Caquetá",76,796,83,98,46,35,3,17,3243,1154,"18479","OIZ",1154,3.03292894280763,64.4156645081714
"PUERTO RICO","Caquetá",847,2414,501,994,182,390,123,142,17800,5593,"18592","OIZ",5593,6.97300196674414,68.5786516853933
"SAN JOSE DEL FRAGUA","Caquetá",350,1506,385,538,153,221,29,61,8619,3243,"18610","OIZ",3243,6.81467776749923,62.3738252697529
"SAN VICENTE DEL CAGUAN","Caquetá",1143,3194,606,2035,208,346,47,139,28528,7718,"18753","OIZ",7718,4.48302669085255,72.9458777341559
"SOLANO","Caquetá",147,359,80,262,52,52,8,15,7316,975,"18756","OIZ",975,5.33333333333333,86.6730453799891
"SOLITA","Caquetá",151,515,187,404,86,117,7,41,5391,1508,"18785","OIZ",1508,7.75862068965517,72.0274531626785
"VALPARAISO","Caquetá",57,964,155,657,114,84,16,34,6119,2081,"18860","OIZ",2081,4.03652090341182,65.9911750285994
"AGUAZUL","Casanare",1511,6716,1858,1370,1206,648,60,558,24755,13927,"85010","OIZ",13927,4.65283262727077,43.7406584528378
"CHAMEZA","Casanare",47,434,34,244,43,25,5,9,1393,841,"85015","OIZ",841,2.97265160523187,39.6267049533381
"HATO COROZAL","Casanare",236,2375,110,288,106,80,22,70,6746,3287,"85125","OIZ",3287,2.43383024034074,51.2748295286095
"LA SALINA","Casanare",51,123,23,99,12,47,5,13,803,373,"85136","OIZ",373,12.6005361930295,53.5491905354919
"MANI","Casanare",358,2720,268,456,321,231,29,80,8922,4463,"85139","OIZ",4463,5.17589065650907,49.9775835014571
"MONTERREY","Casanare",700,2796,663,479,503,353,23,106,10294,5623,"85162","OIZ",5623,6.2777876578339,45.3759471536818
"NUNCHIA","Casanare",141,2188,121,231,185,136,56,49,5940,3107,"85225","OIZ",3107,4.37721274541358,47.6936026936027
"OROCUE","Casanare",285,1473,142,345,292,138,14,60,7223,2749,"85230","OIZ",2749,5.02000727537286,61.9410217361207
"PAZ DE ARIPORO (MORENO)","Casanare",733,7619,522,658,391,323,61,167,21104,10474,"85250","OIZ",10474,3.08382661829292,50.3695981804397
"PORE","Casanare",185,2199,101,295,124,106,33,67,5788,3110,"85263","OIZ",3110,3.40836012861736,46.2681409813407
"RECETOR","Casanare",81,318,36,109,47,34,7,8,1295,640,"85279","OIZ",640,5.3125,50.5791505791506
"SABANALARGA","Casanare",182,758,114,242,82,40,7,18,2627,1443,"85300","OIZ",1443,2.77200277200277,45.0704225352113
"SACAMA","Casanare",110,105,112,117,14,25,3,7,1456,493,"85315","JMS",493,5.0709939148073,66.1401098901099
"SAN LUIS DE PALENQUE","Casanare",133,1750,135,185,93,97,20,35,5327,2448,"85325","OIZ",2448,3.96241830065359,54.0454289468744
"TAMARA","Casanare",127,1281,83,263,59,75,23,41,4116,1952,"85400","OIZ",1952,3.8422131147541,52.575315840622
"TAURAMENA","Casanare",935,4412,988,480,576,284,44,200,14178,7919,"85410","OIZ",7919,3.58631140295492,44.145859782762
"TRINIDAD","Casanare",257,2849,147,237,190,139,41,86,8764,3946,"85430","OIZ",3946,3.52255448555499,54.9748973071657
"VILLANUEVA","Casanare",930,3942,1605,1067,484,363,32,288,18048,8711,"85440","OIZ",8711,4.16714498909425,51.7342641843972
"YOPAL","Casanare",5311,25960,5364,3683,5354,2470,225,1407,89809,49774,"85001","OIZ",49774,4.96243018443364,44.5779376231781
"ALMAGUER","Cauca",161,97,106,3016,49,85,31,65,11985,3610,"19022","JMS",3610,2.35457063711911,69.8790154359616
"ARGELIA","Cauca",1089,138,189,2929,82,146,12,74,15134,4659,"19050","JMS",4659,3.13371968233526,69.215012554513
"BALBOA","Cauca",551,240,196,3030,135,93,24,51,15105,4320,"19075","JMS",4320,2.15277777777778,71.4001986097319
"BOLIVAR","Cauca",636,1236,531,5759,233,265,47,202,30819,8909,"19100","JMS",8909,2.97452014816478,71.0925078685227
"BUENOS AIRES","Cauca",365,736,282,3744,128,314,86,222,14715,5877,"19110","JMS",5877,5.34286200442403,60.0611620795107
"CAJIBIO","Cauca",654,963,1377,2752,332,273,67,190,22136,6608,"19130","JMS",6608,4.13135593220339,70.1481749186845
"CALDONO","Cauca",772,846,645,2747,272,536,167,252,19203,6237,"19137","JMS",6237,8.59387526054193,67.5206998906421
"CALOTO","Cauca",1126,1378,552,3556,281,429,41,277,17055,7640,"19142","JMS",7640,5.6151832460733,55.2037525652301
"CORINTO","Cauca",1058,613,601,3911,358,800,76,273,16421,7690,"19212","JMS",7690,10.4031209362809,53.169721697826
