"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR"
"RAMIRIQUI","Boyacá",494,1233,646,576,184,143,4,100,8433,3380,"15599","OIZ"
"RAQUIRA","Boyacá",277,653,679,322,69,87,16,65,4405,2168,"15600","MLR"
"RONDON","Boyacá",67,416,180,203,44,40,2,22,2246,974,"15621","OIZ"
"SABOYA","Boyacá",461,1333,1023,780,168,195,25,137,9419,4122,"15632","OIZ"
"SACHICA","Boyacá",275,287,298,412,99,56,7,55,3126,1489,"15638","JMS"
"SAMACA","Boyacá",1091,905,1546,998,431,438,27,258,12663,5694,"15646","MLR"
"SAN EDUARDO","Boyacá",60,247,116,114,36,69,36,8,1423,686,"15660","OIZ"
"SAN JOSE DE PARE","Boyacá",121,724,238,426,62,77,50,41,5155,1739,"15664","OIZ"
"SAN LUIS DE GACENO","Boyacá",163,1153,314,233,67,38,20,40,4485,2028,"15667","OIZ"
"SAN MATEO","Boyacá",62,1305,164,132,29,21,3,20,3708,1736,"15673","OIZ"
"SAN MIGUEL DE SEMA","Boyacá",84,267,472,211,43,39,7,28,2722,1151,"15676","MLR"
"SAN PABLO DE BORBUR","Boyacá",92,1644,145,286,39,56,21,57,5775,2340,"15681","OIZ"
"SANTA MARIA","Boyacá",171,501,291,228,61,74,14,76,3377,1416,"15690","OIZ"
"SANTA ROSA DE VITERBO","Boyacá",602,1165,1364,415,337,156,5,92,7720,4136,"15693","MLR"
"SANTA SOFIA","Boyacá",82,488,365,198,34,51,11,29,2960,1258,"15696","OIZ"
"SANTANA","Boyacá",212,724,254,926,60,81,10,36,6514,2303,"15686","JMS"
"SATIVANORTE","Boyacá",54,456,140,210,20,17,8,15,2368,920,"15720","OIZ"
"SATIVASUR","Boyacá",39,82,184,90,15,8,2,15,1228,435,"15723","MLR"
"SIACHOQUE","Boyacá",476,930,732,188,357,72,8,106,6011,2869,"15740","OIZ"
"SOATA","Boyacá",337,1465,949,1019,70,84,7,80,7203,4011,"15753","OIZ"
"SOCHA","Boyacá",533,656,497,283,121,121,11,84,6118,2306,"15757","OIZ"
"SOCOTA","Boyacá",196,1568,189,367,40,70,22,67,5885,2519,"15755","OIZ"
"SOGAMOSO","Boyacá",14459,9901,7468,5736,3817,1741,64,1040,84787,44226,"15759","CL"
"SOMONDOCO","Boyacá",203,497,192,160,54,36,4,19,2827,1165,"15761","OIZ"
"SORA","Boyacá",194,186,297,319,73,62,10,57,2431,1198,"15762","JMS"
"SORACA","Boyacá",453,433,922,208,268,46,9,72,5044,2411,"15764","MLR"
"SOTAQUIRA","Boyacá",266,536,612,284,195,45,6,67,5174,2011,"15763","MLR"
"SUSACON","Boyacá",54,371,544,77,30,16,16,40,2581,1148,"15774","MLR"
"SUTAMARCHAN","Boyacá",190,866,502,444,88,91,16,46,4949,2243,"15776","OIZ"
"SUTATENZA","Boyacá",158,698,235,245,72,57,18,48,3597,1531,"15778","OIZ"
"TASCO","Boyacá",382,410,154,580,105,61,14,51,4968,1757,"15790","JMS"
"TENZA","Boyacá",123,594,263,207,82,52,12,73,3478,1406,"15798","OIZ"
"TIBANA","Boyacá",462,609,232,767,80,80,17,102,7410,2349,"15804","JMS"
"TIBASOSA","Boyacá",1061,821,1151,497,264,150,11,140,7716,4095,"15806","MLR"
"TINJACA","Boyacá",176,260,481,213,42,55,3,25,2559,1255,"15808","MLR"
"TIPACOQUE","Boyacá",73,651,65,459,57,40,10,29,3260,1384,"15810","OIZ"
"TOCA","Boyacá",612,764,696,435,189,172,8,84,6746,2960,"15814","OIZ"
"TOGUI","Boyacá",115,342,349,399,25,56,14,60,4190,1360,"15816","JMS"
"TOPAGA","Boyacá",258,514,439,182,64,33,3,44,2796,1537,"15820","OIZ"
"TOTA","Boyacá",127,858,201,294,44,33,19,47,3953,1623,"15822","OIZ"
"TUNJA","Boyacá",18696,8024,11523,8779,7469,2671,56,1312,108550,58530,"15001","CL"
"TUNUNGUA","Boyacá",38,136,48,270,13,21,0,10,1234,536,"15832","JMS"
"TURMEQUE","Boyacá",658,375,350,436,76,181,10,71,5703,2157,"15835","CL"
"TUTA","Boyacá",747,533,1355,406,207,99,8,60,6865,3415,"15837","MLR"
"TUTAZA","Boyacá",173,285,220,67,40,24,4,65,1759,878,"15839","OIZ"
"UMBITA","Boyacá",223,1409,804,309,77,101,15,71,5850,3009,"15842","OIZ"
"VENTAQUEMADA","Boyacá",879,774,1923,263,185,113,27,135,10549,4299,"15861","MLR"
"VILLA DE LEIVA","Boyacá",865,1345,581,1205,625,234,19,143,9480,5017,"15407","OIZ"
"VIRACACHA","Boyacá",102,339,477,112,52,32,12,42,2580,1168,"15879","MLR"
"ZETAQUIRA","Boyacá",158,473,128,297,65,101,3,24,3771,1249,"15897","OIZ"
"AGUADAS","Caldas",419,4053,1692,1196,199,319,127,350,18626,8355,"17013","OIZ"
"ANSERMA","Caldas",837,7347,2342,1278,400,574,68,531,27331,13377,"17042","OIZ"
"ARANZAZU","Caldas",212,2437,1178,654,194,220,47,306,11333,5248,"17050","OIZ"
"BELALCAZAR","Caldas",198,1814,883,1018,82,145,36,102,9981,4278,"17088","OIZ"
"CHINCHINA","Caldas",2159,6992,3064,3621,1235,1030,119,739,41818,18959,"17174","OIZ"
"FILADELFIA","Caldas",286,1479,567,1188,136,188,35,77,9505,3956,"17272","OIZ"
"LA DORADA","Caldas",2074,9700,2312,5731,938,1064,87,1222,56579,23128,"17380","OIZ"
"LA MERCED","Caldas",134,600,917,493,43,66,15,49,5612,2317,"17388","MLR"
"MANIZALES","Caldas",28515,48244,26488,24797,16830,11472,463,5357,311783,162166,"17001","OIZ"
"MANZANARES","Caldas",178,4228,692,1118,108,213,47,166,15257,6750,"17433","OIZ"
"MARMATO","Caldas",538,684,270,294,70,110,17,102,6275,2085,"17442","OIZ"
"MARQUETALIA","Caldas",105,3792,917,392,55,107,42,104,11221,5514,"17444","OIZ"
"MARULANDA","Caldas",25,624,252,179,21,35,15,24,2674,1175,"17446","OIZ"
"NEIRA","Caldas",540,3965,1062,1609,457,578,82,406,18885,8699,"17486","OIZ"
"NORCASIA","Caldas",137,923,198,945,40,123,26,77,5564,2469,"17495","JMS"
"PACORA","Caldas",212,2389,730,1280,227,206,70,147,11902,5261,"17513","OIZ"
"PALESTINA","Caldas",350,2253,799,2149,201,265,42,195,15055,6254,"17524","OIZ"
"PENSILVANIA","Caldas",188,6537,489,911,83,216,81,194,16824,8699,"17541","OIZ"
"RIOSUCIO","Caldas",2577,6985,1714,2554,535,727,155,638,36715,15885,"17614","OIZ"
"RISARALDA","Caldas",259,2428,643,760,88,191,45,108,10646,4522,"17616","OIZ"
"SALAMINA","Caldas",418,3032,704,1335,213,276,54,137,15417,6169,"17653","OIZ"
"SAMANA","Caldas",225,4172,482,1656,96,185,56,153,16062,7025,"17662","OIZ"
"SAN JOSE","Caldas",62,1031,617,386,63,78,132,30,4815,2399,"17665","OIZ"
"SUPIA","Caldas",1129,3632,914,1307,302,483,252,666,20395,8685,"17777","OIZ"
"VICTORIA","Caldas",115,1821,301,1314,100,110,30,85,8297,3876,"17867","OIZ"
"VILLAMARIA","Caldas",2598,5743,3285,3872,1552,1295,99,686,36472,19130,"17873","OIZ"
"VITERBO","Caldas",381,3739,779,658,389,191,34,142,12584,6313,"17877","OIZ"
"ALBANIA","Caquetá",109,829,192,191,56,57,3,26,3717,1463,"18029","OIZ"
"BELEN DE LOS ANDAQUIES","Caquetá",293,1547,283,328,148,132,28,55,7297,2814,"18094","OIZ"
"CARTAGENA DEL CHAIRA","Caquetá",972,897,356,983,116,256,21,91,16691,3692,"18150","JMS"
"CURILLO","Caquetá",105,1124,121,351,67,101,19,29,7284,1917,"18205","OIZ"
"EL DONCELLO","Caquetá",540,2801,623,907,190,239,31,120,15487,5451,"18247","OIZ"
"EL PAUJIL","Caquetá",277,1305,219,655,119,144,31,72,11413,2822,"18256","OIZ"
"FLORENCIA","Caquetá",5199,27127,4033,6040,3384,2303,193,861,108549,49140,"18001","OIZ"
"LA MONTAÑITA","Caquetá",415,870,138,441,96,110,16,45,9646,2131,"18410","OIZ"
"MILAN","Caquetá",109,587,168,274,76,71,11,18,6479,1314,"18460","OIZ"
"MORELIA","Caquetá",76,796,83,98,46,35,3,17,3243,1154,"18479","OIZ"
"PUERTO RICO","Caquetá",847,2414,501,994,182,390,123,142,17800,5593,"18592","OIZ"
"SAN JOSE DEL FRAGUA","Caquetá",350,1506,385,538,153,221,29,61,8619,3243,"18610","OIZ"
"SAN VICENTE DEL CAGUAN","Caquetá",1143,3194,606,2035,208,346,47,139,28528,7718,"18753","OIZ"
"SOLANO","Caquetá",147,359,80,262,52,52,8,15,7316,975,"18756","OIZ"
"SOLITA","Caquetá",151,515,187,404,86,117,7,41,5391,1508,"18785","OIZ"
"VALPARAISO","Caquetá",57,964,155,657,114,84,16,34,6119,2081,"18860","OIZ"
"AGUAZUL","Casanare",1511,6716,1858,1370,1206,648,60,558,24755,13927,"85010","OIZ"
"CHAMEZA","Casanare",47,434,34,244,43,25,5,9,1393,841,"85015","OIZ"
"HATO COROZAL","Casanare",236,2375,110,288,106,80,22,70,6746,3287,"85125","OIZ"
"LA SALINA","Casanare",51,123,23,99,12,47,5,13,803,373,"85136","OIZ"
"MANI","Casanare",358,2720,268,456,321,231,29,80,8922,4463,"85139","OIZ"
"MONTERREY","Casanare",700,2796,663,479,503,353,23,106,10294,5623,"85162","OIZ"
"NUNCHIA","Casanare",141,2188,121,231,185,136,56,49,5940,3107,"85225","OIZ"
"OROCUE","Casanare",285,1473,142,345,292,138,14,60,7223,2749,"85230","OIZ"
"PAZ DE ARIPORO (MORENO)","Casanare",733,7619,522,658,391,323,61,167,21104,10474,"85250","OIZ"
"PORE","Casanare",185,2199,101,295,124,106,33,67,5788,3110,"85263","OIZ"
"RECETOR","Casanare",81,318,36,109,47,34,7,8,1295,640,"85279","OIZ"
"SABANALARGA","Casanare",182,758,114,242,82,40,7,18,2627,1443,"85300","OIZ"
"SACAMA","Casanare",110,105,112,117,14,25,3,7,1456,493,"85315","JMS"
"SAN LUIS DE PALENQUE","Casanare",133,1750,135,185,93,97,20,35,5327,2448,"85325","OIZ"
"TAMARA","Casanare",127,1281,83,263,59,75,23,41,4116,1952,"85400","OIZ"
"TAURAMENA","Casanare",935,4412,988,480,576,284,44,200,14178,7919,"85410","OIZ"
"TRINIDAD","Casanare",257,2849,147,237,190,139,41,86,8764,3946,"85430","OIZ"
"VILLANUEVA","Casanare",930,3942,1605,1067,484,363,32,288,18048,8711,"85440","OIZ"
"YOPAL","Casanare",5311,25960,5364,3683,5354,2470,225,1407,89809,49774,"85001","OIZ"
"ALMAGUER","Cauca",161,97,106,3016,49,85,31,65,11985,3610,"19022","JMS"
"ARGELIA","Cauca",1089,138,189,2929,82,146,12,74,15134,4659,"19050","JMS"
"BALBOA","Cauca",551,240,196,3030,135,93,24,51,15105,4320,"19075","JMS"
"BOLIVAR","Cauca",636,1236,531,5759,233,265,47,202,30819,8909,"19100","JMS"
"BUENOS AIRES","Cauca",365,736,282,3744,128,314,86,222,14715,5877,"19110","JMS"
"CAJIBIO","Cauca",661,988,1387,2912,341,277,67,201,22136,6834,"19130","JMS"
"CALDONO","Cauca",772,846,645,2747,272,536,167,252,19203,6237,"19137","JMS"
"CALOTO","Cauca",1126,1378,552,3556,281,429,41,277,17055,7640,"19142","JMS"
"CORINTO","Cauca",1058,613,601,3911,358,800,76,273,16421,7690,"19212","JMS"
"EL TAMBO","Cauca",771,2533,1336,5827,497,490,121,398,33278,11973,"19256","JMS"
"FLORENCIA","Cauca",85,245,129,1136,85,51,5,28,4406,1764,"19290","JMS"
"GUACHENE","Cauca",372,455,264,5052,248,250,27,296,11548,6964,"19300","JMS"
"GUAPI","Cauca",863,255,646,4200,60,132,30,146,18850,6332,"19318","JMS"
"INZA","Cauca",1351,1128,887,1163,180,177,56,211,15700,5153,"19355","CL"
"JAMBALO","Cauca",434,118,136,1758,154,209,67,147,7591,3023,"19364","JMS"
"LA SIERRA","Cauca",218,862,181,1254,103,171,34,105,8547,2928,"19392","JMS"
"LA VEGA","Cauca",359,454,635,2099,123,174,29,72,14686,3945,"19397","JMS"
"LOPEZ (MICAY)","Cauca",951,157,180,2356,26,35,18,35,12215,3758,"19418","JMS"
"MERCADERES","Cauca",340,428,512,2897,68,138,42,60,13654,4485,"19450","JMS"
"MIRANDA","Cauca",2326,1206,865,3921,330,367,35,346,17814,9396,"19455","JMS"
"MORALES","Cauca",468,929,832,2927,209,249,54,124,17411,5792,"19473","JMS"
"PADILLA","Cauca",181,140,69,2733,37,146,15,140,6298,3461,"19513","JMS"
"PAEZ (BELALCAZAR)","Cauca",722,1152,697,3012,235,322,92,295,18450,6527,"19517","JMS"
"PATIA (EL BORDO)","Cauca",1988,1445,673,2272,259,326,44,196,24751,7203,"19532","JMS"
"PIAMONTE","Cauca",175,484,193,298,84,112,9,41,4591,1396,"19533","OIZ"
"PIENDAMO","Cauca",1065,1971,2144,2393,549,542,80,279,25260,9023,"19548","JMS"
"POPAYAN","Cauca",18047,19472,17196,22865,9526,5876,254,2271,212419,95507,"19001","JMS"
"PUERTO TEJADA","Cauca",1555,1017,986,8542,493,691,43,655,30555,13982,"19573","JMS"
"PURACE (COCONUCO)","Cauca",320,510,300,1432,78,135,25,84,8219,2884,"19585","JMS"
"ROSAS","Cauca",225,777,290,1594,72,131,41,103,8158,3233,"19622","JMS"
"SAN SEBASTIAN","Cauca",58,610,47,2433,82,66,33,28,6980,3357,"19693","JMS"
"SANTA ROSA","Cauca",111,331,119,433,34,70,12,25,3931,1135,"19701","JMS"
"SANTANDER DE QUILICHAO","Cauca",4914,5559,3786,9945,1885,1646,138,1307,68797,29180,"19698","JMS"
"SILVIA","Cauca",1085,798,996,4192,364,337,89,319,20946,8180,"19743","JMS"
"SOTARA (PAISPAMBA)","Cauca",193,497,253,1468,65,109,29,71,6972,2685,"19760","JMS"
"SUAREZ","Cauca",331,700,245,3199,138,268,49,170,15309,5100,"19780","JMS"
"SUCRE","Cauca",274,101,47,747,63,52,12,23,5111,1319,"19785","JMS"
"TIMBIO","Cauca",848,2447,1722,3359,797,451,63,326,23590,10013,"19807","JMS"
"TIMBIQUI","Cauca",555,245,569,3114,125,80,127,106,13709,4921,"19809","JMS"
"TORIBIO","Cauca",852,219,246,3791,254,381,87,317,15697,6147,"19821","JMS"
"TOTORO","Cauca",275,390,376,1812,191,128,30,85,9925,3287,"19824","JMS"
"VILLA RICA","Cauca",677,413,449,4061,195,208,28,302,12124,6333,"19845","JMS"
"AGUACHICA","Cesar",2292,9848,2237,7952,999,907,73,576,60268,24884,"20011","OIZ"
"AGUSTIN CODAZZI","Cesar",1675,4640,629,4717,492,391,38,228,41695,12810,"20013","JMS"
"ASTREA","Cesar",384,1544,154,2453,49,92,15,54,12844,4745,"20032","JMS"
"BECERRIL","Cesar",713,1110,217,2445,213,149,14,67,13375,4928,"20045","JMS"
"BOSCONIA","Cesar",1016,2453,584,2326,283,246,329,162,24412,7399,"20060","OIZ"
"CHIMICHAGUA","Cesar",991,2548,525,2997,153,126,21,83,22913,7444,"20175","JMS"
"CHIRIGUANA","Cesar",930,2132,356,2093,115,146,24,70,19212,5866,"20178","OIZ"
"CURUMANI","Cesar",1260,2265,573,4542,126,236,30,138,23403,9170,"20228","JMS"
"EL COPEY","Cesar",585,2287,473,3025,148,214,21,112,21152,6865,"20238","JMS"
"EL PASO","Cesar",971,1308,337,3599,160,188,13,112,17726,6688,"20250","JMS"
"GAMARRA","Cesar",226,1243,377,2360,43,56,9,38,9877,4352,"20295","JMS"
"GONZALEZ","Cesar",119,292,134,855,36,64,3,27,3940,1530,"20310","JMS"
"LA GLORIA","Cesar",304,1189,194,2195,49,70,12,53,10139,4066,"20383","JMS"
"LA JAGUA DE IBIRICO","Cesar",2136,1247,546,5060,369,313,22,151,21657,9844,"20400","JMS"
"LA PAZ","Cesar",340,2121,261,2738,132,142,13,63,18182,5810,"20621","JMS"
"MANAURE BALCON DEL CESAR (MANA","Cesar",211,702,180,1595,52,49,10,44,6399,2843,"20443","JMS"
"PAILITAS","Cesar",530,778,191,3055,135,103,13,78,13055,4883,"20517","JMS"
"PELAYA","Cesar",367,1331,226,2373,104,128,20,59,12570,4608,"20550","JMS"
"PUEBLO BELLO","Cesar",492,1098,120,1679,86,112,26,62,14106,3675,"20570","JMS"
"RIO DE ORO","Cesar",612,1825,375,1492,131,153,22,85,13965,4695,"20614","OIZ"
"SAN ALBERTO","Cesar",864,2092,727,2161,281,259,34,130,17149,6548,"20710","JMS"
"SAN DIEGO","Cesar",198,1423,267,2253,239,185,18,46,12853,4629,"20750","JMS"
"SAN MARTIN","Cesar",776,1808,881,1949,158,151,23,113,13115,5859,"20770","JMS"
"TAMALAMEQUE","Cesar",297,716,141,2378,23,66,5,77,9817,3703,"20787","JMS"
"VALLEDUPAR","Cesar",10564,23346,8293,34568,5662,4013,489,1602,259852,88537,"20001","JMS"
"ACANDI","Chocó",54,635,107,1688,53,57,11,34,7918,2639,"27006","JMS"
"ALTO BAUDO (PIE DE PATO)","Chocó",166,116,34,1750,595,44,19,44,8974,2768,"27025","JMS"
"ATRATO (YUTO)","Chocó",142,503,199,1493,73,126,17,94,8722,2647,"27050","JMS"
"BAGADO","Chocó",42,354,145,1324,38,40,18,32,8679,1993,"27073","JMS"
"BAHIA SOLANO (MUTIS)","Chocó",168,387,106,1465,45,49,12,32,6989,2264,"27075","JMS"
"BAJO BAUDO (PIZARRO)","Chocó",64,376,152,1974,42,22,26,39,9607,2695,"27077","JMS"
"BOJAYA (BELLAVISTA)","Chocó",36,273,47,862,10,38,7,17,6585,1290,"27099","JMS"
"CARMEN DEL DARIEN","Chocó",83,141,36,978,7,17,7,31,5257,1300,"27150","JMS"
"CERTEGUI","Chocó",68,312,230,730,50,55,19,41,4044,1505,"27160","JMS"
"CONDOTO","Chocó",327,617,674,775,135,181,26,140,10167,2875,"27205","JMS"
"EL CANTON DEL SAN PABLO (MAN.","Chocó",68,327,83,696,43,80,11,39,4256,1347,"27135","JMS"
"EL CARMEN","Chocó",120,500,434,557,63,106,14,46,5556,1840,"27245","JMS"
"EL LITORAL DEL SAN JUAN","Chocó",162,42,48,1438,32,33,10,31,6876,1796,"27250","JMS"
"ISTMINA","Chocó",686,1256,1195,1605,266,429,51,192,20146,5680,"27361","JMS"
"JURADO","Chocó",16,183,35,374,9,21,5,5,2866,648,"27372","JMS"
"LLORO","Chocó",62,518,140,1509,62,68,26,99,7397,2484,"27413","JMS"
"MEDIO ATRATO (BETE)","Chocó",198,157,48,804,45,44,8,32,5670,1336,"27425","JMS"
"MEDIO BAUDO (PUERTO MELUK)","Chocó",38,402,85,1167,46,83,20,30,7044,1871,"27430","JMS"
"MEDIO SAN JUAN","Chocó",204,211,250,987,147,124,43,117,7376,2083,"27450","JMS"
"NOVITA","Chocó",113,371,190,354,51,80,28,67,5055,1254,"27491","OIZ"
"NUQUI","Chocó",42,162,91,890,17,34,7,22,5282,1265,"27495","JMS"
"QUIBDO","Chocó",2334,5812,2435,9816,1181,1701,158,1494,73678,24931,"27001","JMS"
"RIO IRO","Chocó",52,205,83,785,32,35,35,38,3669,1265,"27580","JMS"
"RIO QUITO (PAIMADO)","Chocó",91,463,180,1619,47,61,18,70,5885,2549,"27600","JMS"
"RIOSUCIO","Chocó",71,361,133,2533,36,56,101,114,12863,3405,"27615","JMS"
"SAN JOSE DEL PALMAR","Chocó",112,180,118,751,36,50,14,29,4095,1290,"27660","JMS"
"SIPI","Chocó",47,151,111,195,46,24,79,37,2405,690,"27745","JMS"
"TADO","Chocó",254,985,881,1618,77,141,58,192,11713,4206,"27787","JMS"
"UNGUIA","Chocó",36,290,113,1052,40,223,31,68,8167,1853,"27800","JMS"
"UNION PANAMERICANA (LAS ANIMAS","Chocó",117,448,340,721,57,70,13,48,4893,1814,"27810","JMS"
"AYAPEL","Córdoba",548,3301,599,4861,135,220,36,117,31026,9817,"23068","JMS"
"BUENAVISTA","Córdoba",423,1505,263,4356,84,84,27,76,17636,6818,"23079","JMS"
"CANALETE","Córdoba",201,751,215,3331,45,77,15,41,15668,4676,"23090","JMS"
"CERETE","Córdoba",2267,7646,2847,8508,870,1169,57,387,68558,23751,"23162","JMS"
"CHIMA","Córdoba",216,963,339,3117,50,100,11,42,12491,4838,"23168","JMS"
"CHINU","Córdoba",766,6228,1113,7141,274,460,54,245,33856,16281,"23182","JMS"
"CIENAGA DE ORO","Córdoba",973,4300,1185,6506,434,625,47,213,40078,14283,"23189","JMS"
"COTORRA (BONGO)","Córdoba",264,2134,369,2901,111,92,16,39,13103,5926,"23300","JMS"
"LA APARTADA (FRONTERA)","Córdoba",218,732,221,2844,168,129,29,61,12801,4402,"23350","JMS"
"LORICA","Córdoba",2056,7452,1881,19689,534,974,67,357,80807,33010,"23417","JMS"
"LOS CORDOBAS","Córdoba",130,1084,328,2822,63,48,21,42,13167,4538,"23419","JMS"
"MOMIL","Córdoba",308,1550,409,2821,90,171,13,39,12514,5401,"23464","JMS"
"MONTELIBANO","Córdoba",1792,2862,1522,9673,1112,888,67,324,52228,18240,"23466","JMS"
"MONTERIA","Córdoba",8348,39472,11124,30841,3389,4709,387,1516,285538,99786,"23001","OIZ"
"MOÑITOS","Córdoba",339,2161,152,3402,89,108,24,58,17586,6333,"23500","JMS"
"PLANETA RICA","Córdoba",833,3844,2075,10175,350,664,255,246,50770,18442,"23555","JMS"
"PUEBLO NUEVO","Córdoba",357,1793,639,5718,203,175,20,89,22661,8994,"23570","JMS"
"PUERTO ESCONDIDO","Córdoba",258,1608,320,3445,81,95,59,46,17415,5912,"23574","JMS"
"PUERTO LIBERTADOR","Córdoba",710,949,350,6126,177,154,12,138,24405,8616,"23580","JMS"
"PURISIMA","Córdoba",294,1191,617,3070,108,103,20,66,13040,5469,"23586","JMS"
"SAHAGUN","Córdoba",1767,5827,1340,20279,569,790,70,333,76537,30975,"23660","JMS"
"SAN ANDRES DE SOTAVENTO","Córdoba",399,1203,1595,7185,213,155,60,134,26668,10944,"23670","JMS"
"SAN ANTERO","Córdoba",354,1992,390,4650,159,157,34,86,19994,7822,"23672","JMS"
"SAN BERNARDO DEL VIENTO","Córdoba",408,1833,271,5374,171,170,19,66,25832,8312,"23675","JMS"
"SAN CARLOS","Córdoba",298,1670,431,2084,89,139,13,41,19432,4765,"23678","JMS"
"SAN JOSE DE URE","Córdoba",111,307,93,2124,108,43,8,33,6928,2827,"23682","JMS"
"SAN PELAYO","Córdoba",579,2993,1278,6787,239,290,19,129,34841,12314,"23686","JMS"
"TIERRALTA","Córdoba",1187,3366,819,8157,379,503,68,215,57470,14694,"23807","JMS"
"TUCHIN","Córdoba",354,2146,1753,2269,76,84,36,138,19690,6856,"23815","JMS"
"VALENCIA","Córdoba",299,2106,500,6055,124,214,35,98,24420,9431,"23855","JMS"
"AGUA DE DIOS","Cundinamarca",560,1013,707,1554,142,223,14,120,9407,4333,"25001","JMS"
"ALBAN","Cundinamarca",181,792,550,270,66,82,3,56,4795,2000,"25019","OIZ"
"ANAPOIMA","Cundinamarca",318,2543,469,1314,179,161,5,76,10626,5065,"25035","OIZ"
"ANOLAIMA","Cundinamarca",323,2094,520,992,145,201,14,93,11067,4382,"25040","OIZ"
"APULO","Cundinamarca",227,1247,267,956,54,90,14,50,6717,2905,"25599","OIZ"
"ARBELAEZ","Cundinamarca",388,1763,1212,543,196,161,9,85,8300,4357,"25053","OIZ"
"BELTRAN","Cundinamarca",31,312,30,311,25,21,10,13,2003,753,"25086","OIZ"
"BITUIMA","Cundinamarca",33,433,132,224,25,37,2,18,2844,904,"25095","OIZ"
"BOJACA","Cundinamarca",410,887,780,750,186,187,10,173,5315,3383,"25099","OIZ"
"CABRERA","Cundinamarca",409,247,83,315,21,60,3,33,3282,1171,"25120","CL"
"CACHIPAY","Cundinamarca",313,1385,567,1206,137,202,12,88,8509,3910,"25123","OIZ"
"CAJICA","Cundinamarca",3258,3879,5128,2584,2521,1318,33,520,34539,19241,"25126","MLR"
"CAPARRAPI","Cundinamarca",100,1953,354,876,42,117,37,48,10272,3527,"25148","OIZ"
"CAQUEZA","Cundinamarca",891,2670,1432,693,277,344,17,191,14097,6515,"25151","OIZ"
"CARMEN DE CARUPA","Cundinamarca",124,517,1326,198,74,111,8,47,6025,2405,"25154","MLR"
"CHAGUANI","Cundinamarca",45,618,92,294,18,40,6,18,3725,1131,"25168","OIZ"
"CHIA","Cundinamarca",6566,9063,9295,6620,6561,2978,67,881,77779,42031,"25175","MLR"
"CHIPAQUE","Cundinamarca",349,1889,531,442,91,131,6,76,6993,3515,"25178","OIZ"
"CHOACHI","Cundinamarca",492,2418,1045,477,225,277,13,129,11062,5076,"25181","OIZ"
"CHOCONTA","Cundinamarca",724,1698,2754,824,241,349,28,224,13526,6842,"25183","MLR"
"COGUA","Cundinamarca",983,1127,2775,614,379,328,17,155,12219,6378,"25200","MLR"
"COTA","Cundinamarca",1533,2695,2253,1686,1441,731,17,217,20752,10573,"25214","OIZ"
"CUCUNUBA","Cundinamarca",171,439,1620,210,70,94,4,71,4530,2679,"25224","MLR"
"EL COLEGIO","Cundinamarca",815,3416,1255,1876,256,250,20,124,18346,8012,"25245","OIZ"
"EL PEÑON","Cundinamarca",36,1171,94,207,29,29,15,14,4283,1595,"25258","OIZ"
"EL ROSAL","Cundinamarca",679,3488,1864,923,366,415,20,383,12280,8138,"25260","OIZ"
"FACATATIVA","Cundinamarca",8181,11577,12060,5953,3691,3557,81,2050,80720,47150,"25269","MLR"
"FOMEQUE","Cundinamarca",331,2934,527,453,141,166,18,74,9188,4644,"25279","OIZ"
"FOSCA","Cundinamarca",158,1431,367,186,37,58,7,20,5353,2264,"25281","OIZ"
"FUNZA","Cundinamarca",5232,7279,7822,5025,2534,2487,38,1173,55981,31590,"25286","MLR"
"FUQUENE","Cundinamarca",182,342,521,331,92,99,4,34,3690,1605,"25288","MLR"
"FUSAGASUGA","Cundinamarca",6518,16490,6449,7324,2700,2446,97,1282,91223,43306,"25290","OIZ"
"GACHALA","Cundinamarca",107,894,210,525,49,71,13,20,5076,1889,"25293","OIZ"
"GACHANCIPA","Cundinamarca",707,1059,1820,670,264,285,10,212,8519,5027,"25295","MLR"
"GACHETA","Cundinamarca",278,2205,386,565,109,200,34,83,9198,3860,"25297","OIZ"
"GAMA","Cundinamarca",61,651,222,226,25,44,8,25,3045,1262,"25299","OIZ"
"GIRARDOT","Cundinamarca",4560,10141,5638,8884,2314,1903,59,1073,79200,34572,"25307","OIZ"
"GRANADA","Cundinamarca",312,1218,231,414,115,170,9,103,5442,2572,"25312","OIZ"
"GUACHETA","Cundinamarca",423,795,1175,537,206,348,17,169,8306,3670,"25317","MLR"
"GUADUAS","Cundinamarca",641,3421,1161,1924,327,496,37,270,21444,8277,"25320","OIZ"
"GUASCA","Cundinamarca",694,1296,1499,567,232,329,15,118,9617,4750,"25322","MLR"
"GUATAQUI","Cundinamarca",44,253,45,298,9,30,6,10,2086,695,"25324","JMS"
"GUATAVITA","Cundinamarca",214,768,912,215,130,108,6,53,4747,2406,"25326","MLR"
"GUAYABAL DE SIQUIMA","Cundinamarca",134,783,333,298,49,52,11,19,3524,1679,"25328","OIZ"
"GUAYABETAL","Cundinamarca",132,1381,287,240,50,75,15,51,4285,2231,"25335","OIZ"
"GUTIERREZ","Cundinamarca",39,1102,174,135,16,37,0,18,2631,1521,"25339","OIZ"
"JERUSALEN","Cundinamarca",39,533,56,261,11,21,4,6,2709,931,"25368","OIZ"
"JUNIN","Cundinamarca",157,1069,290,327,45,85,22,48,5483,2043,"25372","OIZ"
