"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR"
"GUATAPE","Antioquia",429,1283,552,718,116,186,18,93,6122,3395,"5321","OIZ"
"HELICONIA","Antioquia",110,661,185,829,40,127,183,43,5801,2178,"5347","JMS"
"HISPANIA","Antioquia",84,653,209,480,45,105,18,25,5104,1619,"5353","OIZ"
"ITAGUI","Antioquia",16073,29166,21500,15223,5718,8574,257,3032,231363,99543,"5360","OIZ"
"ITUANGO","Antioquia",447,766,503,841,127,317,70,172,16942,3243,"5361","JMS"
"JARDIN","Antioquia",463,2320,1266,672,189,278,33,96,11441,5317,"5364","OIZ"
"JERICO","Antioquia",319,2017,924,482,141,230,30,134,10975,4277,"5368","OIZ"
"LA CEJA","Antioquia",2857,8839,5175,2399,1348,1723,117,764,41178,23222,"5376","OIZ"
"LA ESTRELLA","Antioquia",3422,6501,4713,2261,1267,1837,67,719,48196,20787,"5380","OIZ"
"LA PINTADA","Antioquia",103,1300,235,696,45,106,36,53,6109,2574,"5390","OIZ"
"LA UNION","Antioquia",779,3484,1553,904,508,484,38,231,15294,7981,"5400","OIZ"
"LIBORINA","Antioquia",216,1621,518,768,65,132,21,37,8849,3378,"5411","OIZ"
"MACEO","Antioquia",294,721,393,595,58,131,16,50,7253,2258,"5425","OIZ"
"MARINILLA","Antioquia",2866,7741,3235,2079,1011,1044,73,475,36465,18524,"5440","OIZ"
"MEDELLIN","Antioquia",110387,269646,132714,69638,44203,55562,2086,16496,1412495,700732,"5001","OIZ"
"MONTEBELLO","Antioquia",158,966,470,334,53,149,55,60,5911,2245,"5467","OIZ"
"MURINDO","Antioquia",79,24,11,474,7,8,3,9,2508,615,"5475","JMS"
"MUTATA","Antioquia",102,703,166,1796,70,135,25,52,12039,3049,"5480","JMS"
"NARIÑO","Antioquia",32,2345,149,344,40,68,118,50,8867,3146,"5483","OIZ"
"NECHI","Antioquia",248,1491,529,1196,101,100,25,65,17285,3755,"5495","OIZ"
"NECOCLI","Antioquia",270,2450,486,5424,196,258,77,168,30732,9329,"5490","JMS"
"OLAYA","Antioquia",23,489,210,147,52,50,8,13,2769,992,"5501","OIZ"
"PEÑOL","Antioquia",509,2474,809,1227,178,323,55,108,14621,5683,"5541","OIZ"
"PEQUE","Antioquia",80,1130,91,840,42,133,139,39,5638,2494,"5543","OIZ"
"PUEBLORRICO","Antioquia",92,1326,403,350,43,102,18,100,6824,2434,"5576","OIZ"
"PUERTO BERRIO","Antioquia",1048,3192,1503,2561,483,537,56,275,33297,9655,"5579","OIZ"
"PUERTO NARE-LA MAGDALENA","Antioquia",693,870,345,2015,85,94,14,63,11662,4179,"5585","JMS"
"PUERTO TRIUNFO","Antioquia",283,2266,807,801,138,230,32,95,12172,4652,"5591","OIZ"
"REMEDIOS","Antioquia",524,826,618,648,245,279,29,148,15888,3317,"5604","OIZ"
"RETIRO","Antioquia",901,3390,1376,762,325,456,29,183,14090,7422,"5607","OIZ"
"RIONEGRO","Antioquia",7463,18074,9743,4397,2885,3451,126,1654,87238,47793,"5615","OIZ"
"SABANALARGA","Antioquia",77,1165,459,333,60,93,91,44,6723,2322,"5628","OIZ"
"SABANETA","Antioquia",4346,10093,5828,4102,2070,2412,57,747,54213,29655,"5631","OIZ"
"SALGAR","Antioquia",146,2007,249,353,101,146,53,72,13000,3127,"5642","OIZ"
"SAN ANDRES","Antioquia",103,657,272,193,54,140,20,74,4862,1513,"5647","OIZ"
"SAN CARLOS","Antioquia",211,1817,465,2315,187,187,40,107,12760,5329,"5649","JMS"
"SAN FRANCISCO","Antioquia",60,836,105,679,40,58,26,45,5950,1849,"5652","OIZ"
"SAN JERONIMO","Antioquia",308,1883,478,1010,135,246,31,88,11716,4179,"5656","OIZ"
"SAN JOSE DE LA MONTAÑA","Antioquia",123,482,308,261,33,106,13,52,3063,1378,"5658","OIZ"
"SAN JUAN DE URABA","Antioquia",189,944,145,3068,85,87,26,48,15618,4592,"5659","JMS"
"SAN LUIS","Antioquia",152,1824,473,844,155,216,44,80,10126,3788,"5660","OIZ"
"SAN PEDRO","Antioquia",647,2873,2109,714,279,674,48,263,17715,7607,"5664","OIZ"
"SAN PEDRO DE URABA","Antioquia",279,2664,400,3042,128,180,59,107,23674,6859,"5665","JMS"
"SAN RAFAEL","Antioquia",346,1745,628,1715,140,263,51,112,11793,5000,"5667","OIZ"
"SAN ROQUE","Antioquia",302,2304,752,591,144,253,70,120,13752,4536,"5670","OIZ"
"SAN VICENTE","Antioquia",529,3990,1574,721,184,271,57,230,15748,7556,"5674","OIZ"
"SANTA BARBARA","Antioquia",1026,2742,1157,1466,249,460,51,223,21397,7374,"5679","OIZ"
"SANTA ROSA DE OSOS","Antioquia",1122,4711,2749,1343,495,1049,267,580,24207,12316,"5686","OIZ"
"SANTO DOMINGO","Antioquia",225,1351,605,773,98,222,56,112,8481,3442,"5690","OIZ"
"SANTUARIO","Antioquia",997,6776,3061,1085,450,575,96,288,25148,13328,"5697","OIZ"
"SEGOVIA","Antioquia",1022,908,781,968,348,391,22,119,24294,4559,"5736","CL"
"SONSON","Antioquia",646,6355,1442,1390,250,449,107,298,26652,10937,"5756","OIZ"
"SOPETRAN","Antioquia",307,1429,575,1025,279,203,46,144,11498,4008,"5761","OIZ"
"TAMESIS","Antioquia",463,1969,1429,586,185,315,46,146,14122,5139,"5789","OIZ"
"TARAZA","Antioquia",637,899,698,1848,268,226,48,162,24855,4786,"5790","JMS"
"TARSO","Antioquia",67,552,150,737,41,111,19,47,5647,1724,"5792","JMS"
"TITIRIBI","Antioquia",230,844,398,731,93,225,23,89,8664,2633,"5809","OIZ"
"TOLEDO","Antioquia",108,360,263,151,63,157,38,65,4226,1205,"5819","OIZ"
"TURBO","Antioquia",825,6237,1599,16030,647,1214,134,495,78990,27181,"5837","JMS"
"URAMITA","Antioquia",64,442,98,1074,29,74,15,37,6039,1833,"5842","JMS"
"URRAO","Antioquia",369,3163,629,1232,254,559,85,194,21012,6485,"5847","OIZ"
"VALDIVIA","Antioquia",160,515,394,566,61,93,29,55,11471,1873,"5854","JMS"
"VALPARAISO","Antioquia",142,707,351,712,49,88,18,62,5654,2129,"5856","JMS"
"VEGACHI","Antioquia",252,1180,342,325,81,158,23,55,9973,2416,"5858","OIZ"
"VENECIA","Antioquia",236,1269,532,777,97,212,27,73,10635,3223,"5861","OIZ"
"VIGIA DEL FUERTE","Antioquia",135,266,36,1253,17,26,18,21,5037,1772,"5873","JMS"
"YALI","Antioquia",96,428,186,342,32,71,10,26,5481,1191,"5885","OIZ"
"YARUMAL","Antioquia",1275,4198,2353,1162,502,715,106,395,31961,10706,"5887","OIZ"
"YOLOMBO","Antioquia",368,1790,659,817,149,256,53,81,15546,4173,"5890","OIZ"
"YONDO-CASABE","Antioquia",984,1082,441,1405,168,134,23,98,11075,4335,"5893","JMS"
