"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL"
"SAN JOSE","Caldas",62,1031,617,386,63,78,132,30,4815,2399
"SUPIA","Caldas",1129,3632,914,1307,302,483,252,666,20395,8685
"VICTORIA","Caldas",115,1821,301,1314,100,110,30,85,8297,3876
"VILLAMARIA","Caldas",2598,5743,3285,3872,1552,1295,99,686,36472,19130
"VITERBO","Caldas",381,3739,779,658,389,191,34,142,12584,6313
"ALBANIA","Caquetá",109,829,192,191,56,57,3,26,3717,1463
"BELEN DE LOS ANDAQUIES","Caquetá",293,1547,283,328,148,132,28,55,7297,2814
"CARTAGENA DEL CHAIRA","Caquetá",972,897,356,983,116,256,21,91,16691,3692
"CURILLO","Caquetá",105,1124,121,351,67,101,19,29,7284,1917
"EL DONCELLO","Caquetá",540,2801,623,907,190,239,31,120,15487,5451
"EL PAUJIL","Caquetá",277,1305,219,655,119,144,31,72,11413,2822
"FLORENCIA","Caquetá",5199,27127,4033,6040,3384,2303,193,861,108549,49140
"LA MONTAÃITA","Caquetá",415,870,138,441,96,110,16,45,9646,2131
"MILAN","Caquetá",109,587,168,274,76,71,11,18,6479,1314
"MORELIA","Caquetá",76,796,83,98,46,35,3,17,3243,1154
"PUERTO RICO","Caquetá",847,2414,501,994,182,390,123,142,17800,5593
"SAN JOSE DEL FRAGUA","Caquetá",294,1361,325,476,124,200,27,56,8619,2863
"SAN VICENTE DEL CAGUAN","Caquetá",1143,3194,606,2035,208,346,47,139,28528,7718
"SOLANO","Caquetá",147,359,80,262,52,52,6,15,7316,973
"SOLITA","Caquetá",151,515,187,404,86,117,7,41,5391,1508
"VALPARAISO","Caquetá",57,964,155,657,114,84,16,34,6119,2081
"AGUAZUL","Casanare",1511,6716,1858,1370,1206,648,60,558,24755,13927
"CHAMEZA","Casanare",47,434,34,244,43,25,5,9,1393,841
"HATO COROZAL","Casanare",223,2237,103,283,100,72,21,68,6746,3107
"LA SALINA","Casanare",51,123,23,99,12,47,5,13,803,373
"MANI","Casanare",343,2626,257,444,313,211,28,74,8922,4296
"MONTERREY","Casanare",700,2796,663,479,503,353,23,106,10294,5623
"NUNCHIA","Casanare",141,2188,121,231,185,136,56,49,5940,3107
"OROCUE","Casanare",285,1473,142,345,292,138,14,60,7223,2749
"PAZ DE ARIPORO (MORENO)","Casanare",713,7458,504,646,378,315,59,163,21104,10236
"PORE","Casanare",185,2199,101,295,124,106,33,67,5788,3110
"RECETOR","Casanare",81,318,36,109,47,34,7,8,1295,640
"SABANALARGA","Casanare",182,758,114,242,82,40,7,18,2627,1443
"SACAMA","Casanare",110,105,112,117,14,25,3,7,1456,493
"SAN LUIS DE PALENQUE","Casanare",133,1750,135,185,93,97,20,35,5327,2448
"TAMARA","Casanare",127,1281,83,263,59,75,23,41,4116,1952
"TAURAMENA","Casanare",935,4412,988,480,576,284,44,200,14178,7919
"TRINIDAD","Casanare",256,2798,144,228,186,138,41,86,8764,3877
"VILLANUEVA","Casanare",930,3942,1605,1067,484,363,32,288,18048,8711
"YOPAL","Casanare",5032,24524,5081,3467,5024,2378,216,1343,89809,47065
"ALMAGUER","Cauca",161,97,106,3016,49,85,31,65,11985,3610
"ARGELIA","Cauca",1026,136,186,2865,79,144,12,71,15134,4519
"BALBOA","Cauca",551,240,196,3030,135,93,24,51,15105,4320
"BOLIVAR","Cauca",624,1219,518,5394,230,251,44,197,30819,8477
"BUENOS AIRES","Cauca",365,736,282,3744,128,314,86,222,14715,5877
"CAJIBIO","Cauca",642,960,1348,2642,328,265,65,187,22136,6437
"CALDONO","Cauca",749,753,628,2484,248,393,114,224,19203,5593
"CALOTO","Cauca",1105,1372,548,3402,274,415,40,276,17055,7432
"CORINTO","Cauca",1022,597,585,3733,335,675,66,255,16421,7268
"EL TAMBO","Cauca",656,2334,1229,5382,444,433,110,353,33278,10941
"FLORENCIA","Cauca",85,245,129,1136,85,51,5,28,4406,1764
"GUACHENE","Cauca",372,455,264,5052,248,250,27,296,11548,6964
"GUAPI","Cauca",453,228,507,2697,45,118,19,128,18850,4195
"INZA","Cauca",940,1057,800,1089,156,159,55,189,15700,4445
"JAMBALO","Cauca",340,112,122,1584,119,178,53,120,7591,2628
"LA SIERRA","Cauca",218,862,181,1254,103,171,34,105,8547,2928
"LA VEGA","Cauca",354,441,584,2025,122,173,24,70,14686,3793
"LOPEZ (MICAY)","Cauca",673,123,133,1594,22,29,13,30,12215,2617
"MERCADERES","Cauca",340,428,512,2897,68,138,42,60,13654,4485
"MIRANDA","Cauca",2326,1206,865,3921,330,367,35,346,17814,9396
"MORALES","Cauca",447,920,820,2747,206,240,46,120,17411,5546
"PADILLA","Cauca",181,140,69,2733,37,146,15,140,6298,3461
"PAEZ (BELALCAZAR)","Cauca",706,1152,694,2649,233,310,91,288,18450,6123
"PATIA (EL BORDO)","Cauca",1386,1429,651,2106,245,290,34,172,24751,6313
"PIAMONTE","Cauca",175,484,193,298,84,112,9,41,4591,1396
"PIENDAMO","Cauca",1065,1971,2144,2393,549,542,80,279,25260,9023
"POPAYAN","Cauca",18002,19409,17132,22686,9501,5844,247,2262,212419,95083
"PUERTO TEJADA","Cauca",1525,996,959,8406,487,681,42,646,30555,13742
"PURACE (COCONUCO)","Cauca",320,510,300,1432,78,135,25,84,8219,2884
"ROSAS","Cauca",225,777,290,1594,72,131,41,103,8158,3233
"SAN SEBASTIAN","Cauca",58,610,47,2433,82,66,33,28,6980,3357
"SANTA ROSA","Cauca",109,326,118,386,34,66,12,25,3931,1076
"SANTANDER DE QUILICHAO","Cauca",4690,5310,3633,9172,1800,1548,113,1212,68797,27478
"SILVIA","Cauca",951,688,902,3280,308,288,85,190,20946,6692
"SOTARA (PAISPAMBA)","Cauca",193,497,253,1468,65,109,29,71,6972,2685
"SUAREZ","Cauca",331,700,245,3199,138,268,49,170,15309,5100
"SUCRE","Cauca",274,101,47,747,63,52,12,23,5111,1319
"TIMBIO","Cauca",848,2447,1722,3359,797,451,63,326,23590,10013
"TIMBIQUI","Cauca",500,206,483,2629,107,71,125,80,13709,4201
"TORIBIO","Cauca",838,219,245,3683,245,376,85,304,15697,5995
"TOTORO","Cauca",262,380,354,1735,186,126,30,78,9925,3151
"VILLA RICA","Cauca",677,413,449,4061,195,208,28,302,12124,6333
"AGUACHICA","Cesar",2292,9833,2237,7943,999,899,73,576,60268,24852
"AGUSTIN CODAZZI","Cesar",1675,4640,629,4717,492,391,38,228,41695,12810
"ASTREA","Cesar",384,1544,154,2453,49,92,15,54,12844,4745
"BECERRIL","Cesar",713,1110,217,2445,213,149,14,67,13375,4928
"BOSCONIA","Cesar",1016,2453,584,2326,283,246,329,162,24412,7399
"CHIMICHAGUA","Cesar",991,2548,525,2997,153,126,21,83,22913,7444
"CHIRIGUANA","Cesar",930,2132,356,2093,115,146,24,70,19212,5866
"CURUMANI","Cesar",1260,2265,573,4542,126,236,30,138,23403,9170
"EL COPEY","Cesar",585,2287,473,3025,148,214,21,112,21152,6865
"EL PASO","Cesar",971,1308,337,3599,160,188,13,112,17726,6688
"GAMARRA","Cesar",226,1243,377,2360,43,56,9,38,9877,4352
"GONZALEZ","Cesar",119,292,134,855,36,64,3,27,3940,1530
"LA GLORIA","Cesar",304,1189,194,2195,49,70,12,53,10139,4066
"LA JAGUA DE IBIRICO","Cesar",2136,1247,546,5060,369,313,22,151,21657,9844
"LA PAZ","Cesar",340,2121,261,2738,132,142,13,63,18182,5810
"MANAURE BALCON DEL CESAR (MANA","Cesar",211,702,180,1595,52,49,10,44,6399,2843
"PAILITAS","Cesar",530,778,191,3055,135,103,13,78,13055,4883
"PELAYA","Cesar",367,1331,226,2373,104,128,20,59,12570,4608
"PUEBLO BELLO","Cesar",492,1098,120,1679,86,112,26,62,14106,3675
"RIO DE ORO","Cesar",608,1732,349,1441,129,151,21,81,13965,4512
"SAN ALBERTO","Cesar",864,2080,725,2122,280,257,34,129,17149,6491
"SAN DIEGO","Cesar",198,1423,267,2253,239,185,18,46,12853,4629
"SAN MARTIN","Cesar",776,1808,881,1949,158,151,23,113,13115,5859
"TAMALAMEQUE","Cesar",297,716,141,2378,23,66,5,77,9817,3703
"VALLEDUPAR","Cesar",10475,23106,8228,34317,5605,3977,487,1592,259852,87787
"ACANDI","Chocó",54,626,104,1615,53,55,10,33,7918,2550
"ALTO BAUDO (PIE DE PATO)","Chocó",70,101,28,1651,417,43,17,35,8974,2362
"ATRATO (YUTO)","Chocó",142,503,199,1493,73,126,17,94,8722,2647
"BAGADO","Chocó",32,280,95,760,34,25,17,28,8679,1271
"BAHIA SOLANO (MUTIS)","Chocó",151,305,81,1066,34,36,10,22,6989,1705
"BAJO BAUDO (PIZARRO)","Chocó",51,247,118,1456,26,21,20,31,9607,1970
"BOJAYA (BELLAVISTA)","Chocó",19,258,38,629,7,29,6,15,6585,1001
"CARMEN DEL DARIEN","Chocó",83,140,36,959,7,17,7,31,5257,1280
"CERTEGUI","Chocó",68,312,230,730,50,55,19,41,4044,1505
"CONDOTO","Chocó",302,571,607,681,118,165,21,129,10167,2594
"EL CANTON DEL SAN PABLO (MAN.","Chocó",68,327,83,696,43,80,11,39,4256,1347
"EL CARMEN","Chocó",118,495,426,540,62,106,14,46,5556,1807
"EL LITORAL DEL SAN JUAN","Chocó",159,36,45,1193,28,26,7,24,6876,1518
"ISTMINA","Chocó",666,1181,1129,1547,250,412,48,184,20146,5417
"JURADO","Chocó",16,183,35,374,9,21,5,5,2866,648
"LLORO","Chocó",61,506,138,1395,62,66,24,97,7397,2349
"MEDIO ATRATO (BETE)","Chocó",89,142,37,497,37,41,6,30,5670,879
"MEDIO BAUDO (PUERTO MELUK)","Chocó",29,359,80,912,34,72,17,23,7044,1526
"MEDIO SAN JUAN","Chocó",151,154,192,755,131,92,40,91,7376,1606
"NOVITA","Chocó",113,371,190,354,51,80,28,67,5055,1254
"NUQUI","Chocó",42,162,91,890,17,34,7,22,5282,1265
"QUIBDO","Chocó",2008,4919,2084,8359,1010,1397,130,1246,73678,21153
"RIO IRO","Chocó",24,114,54,530,15,16,11,27,3669,791
"RIO QUITO (PAIMADO)","Chocó",86,449,166,1383,45,59,18,61,5885,2267
"RIOSUCIO","Chocó",56,242,114,2020,28,43,97,38,12863,2638
"SAN JOSE DEL PALMAR","Chocó",112,180,118,751,36,50,14,29,4095,1290
"SIPI","Chocó",47,151,111,195,46,24,79,37,2405,690
"TADO","Chocó",218,924,757,1477,71,133,57,171,11713,3808
"UNGUIA","Chocó",36,290,113,1052,40,223,31,68,8167,1853
"UNION PANAMERICANA (LAS ANIMAS","Chocó",70,319,255,563,38,50,11,36,4893,1342
"AYAPEL","Córdoba",511,3032,567,4542,127,200,34,110,31026,9123
"BUENAVISTA","Córdoba",394,1403,249,4028,79,72,24,72,17636,6321
"CANALETE","Córdoba",190,706,204,3173,41,73,15,38,15668,4440
"CERETE","Córdoba",2222,7223,2756,8196,854,1132,54,367,68558,22804
"CHIMA","Córdoba",216,963,339,3117,50,100,11,42,12491,4838
"CHINU","Córdoba",758,6157,1110,7078,273,460,53,245,33856,16134
"CIENAGA DE ORO","Córdoba",968,4284,1179,6452,433,619,46,213,40078,14194
"COTORRA (BONGO)","Córdoba",264,2134,369,2901,111,92,16,39,13103,5926
"LA APARTADA (FRONTERA)","Córdoba",218,732,221,2844,168,129,29,61,12801,4402
"LORICA","Córdoba",1907,6570,1738,17049,494,878,58,299,80807,28993
"LOS CORDOBAS","Córdoba",128,1037,321,2670,61,45,20,38,13167,4320
"MOMIL","Córdoba",308,1550,409,2821,90,171,13,39,12514,5401
"MONTELIBANO","Córdoba",1758,2738,1450,8211,1088,861,56,313,52228,16475
"MONTERIA","Córdoba",8062,37518,10378,29051,3256,4559,369,1441,285538,94634
"MOÃITOS","Córdoba",205,1278,88,2255,55,78,14,41,17586,4014
"PLANETA RICA","Córdoba",804,3717,1942,9520,335,635,249,236,50770,17438
"PUEBLO NUEVO","Córdoba",332,1689,597,5392,195,167,19,83,22661,8474
"PUERTO ESCONDIDO","Córdoba",258,1608,320,3445,81,95,59,46,17415,5912
"PUERTO LIBERTADOR","Córdoba",638,893,321,4583,168,146,9,117,24405,6875
"PURISIMA","Córdoba",282,1170,597,2901,101,98,19,65,13040,5233
"SAHAGUN","Córdoba",1693,5357,1244,18266,544,759,63,310,76537,28236
"SAN ANDRES DE SOTAVENTO","Córdoba",393,1191,1571,7076,211,151,59,131,26668,10783
"SAN ANTERO","Córdoba",354,1992,390,4650,159,157,34,86,19994,7822
"SAN BERNARDO DEL VIENTO","Córdoba",408,1833,271,5374,171,170,19,66,25832,8312
"SAN CARLOS","Córdoba",298,1670,431,2084,89,139,13,41,19432,4765
"SAN JOSE DE URE","Córdoba",97,260,91,1908,97,41,8,31,6928,2533
"SAN PELAYO","Córdoba",526,2526,1038,5677,205,264,13,101,34841,10350
"TIERRALTA","Córdoba",1177,3353,814,8074,379,500,66,215,57470,14578
"TUCHIN","Córdoba",326,2117,1550,2078,71,81,36,130,19690,6389
"VALENCIA","Córdoba",288,1990,478,5835,119,203,32,89,24420,9034
"AGUA DE DIOS","Cundinamarca",560,1013,707,1554,142,223,14,120,9407,4333
"ALBAN","Cundinamarca",181,792,550,270,66,82,3,56,4795,2000
"ANAPOIMA","Cundinamarca",318,2543,469,1314,179,161,5,76,10626,5065
"ANOLAIMA","Cundinamarca",323,2094,520,992,145,201,14,93,11067,4382
"APULO","Cundinamarca",227,1247,267,956,54,90,14,50,6717,2905
"ARBELAEZ","Cundinamarca",388,1763,1212,543,196,161,9,85,8300,4357
"BELTRAN","Cundinamarca",31,312,30,311,25,21,10,13,2003,753
"BITUIMA","Cundinamarca",33,433,132,224,25,37,2,18,2844,904
"BOJACA","Cundinamarca",410,887,780,750,186,187,10,173,5315,3383
"CABRERA","Cundinamarca",409,247,83,315,21,60,3,33,3282,1171
"CACHIPAY","Cundinamarca",313,1385,567,1206,137,202,12,88,8509,3910
"CAJICA","Cundinamarca",3258,3879,5128,2584,2521,1318,33,520,34539,19241
"CAPARRAPI","Cundinamarca",100,1953,354,876,42,117,37,48,10272,3527
"CAQUEZA","Cundinamarca",891,2670,1432,693,277,344,17,191,14097,6515
"CARMEN DE CARUPA","Cundinamarca",124,517,1326,198,74,111,8,47,6025,2405
"CHAGUANI","Cundinamarca",45,618,92,294,18,40,6,18,3725,1131
"CHIA","Cundinamarca",6566,9063,9295,6620,6561,2978,67,881,77779,42031
"CHIPAQUE","Cundinamarca",349,1889,531,442,91,131,6,76,6993,3515
"CHOACHI","Cundinamarca",492,2418,1045,477,225,277,13,129,11062,5076
"CHOCONTA","Cundinamarca",724,1698,2754,824,241,349,28,224,13526,6842
"COGUA","Cundinamarca",983,1127,2775,614,379,328,17,155,12219,6378
"COTA","Cundinamarca",1533,2695,2253,1686,1441,731,17,217,20752,10573
"CUCUNUBA","Cundinamarca",171,439,1620,210,70,94,4,71,4530,2679
"EL COLEGIO","Cundinamarca",815,3416,1255,1876,256,250,20,124,18346,8012
"EL PEÃON","Cundinamarca",36,1171,94,207,29,29,15,14,4283,1595
"EL ROSAL","Cundinamarca",679,3488,1864,923,366,415,20,383,12280,8138
"FACATATIVA","Cundinamarca",8181,11577,12060,5953,3691,3557,81,2050,80720,47150
"FOMEQUE","Cundinamarca",331,2934,527,453,141,166,18,74,9188,4644
"FOSCA","Cundinamarca",158,1431,367,186,37,58,7,20,5353,2264
"FUNZA","Cundinamarca",5232,7279,7822,5025,2534,2487,38,1173,55981,31590
"FUQUENE","Cundinamarca",182,342,521,331,92,99,4,34,3690,1605
"FUSAGASUGA","Cundinamarca",6518,16490,6449,7324,2700,2446,97,1282,91223,43306
"GACHALA","Cundinamarca",107,894,210,525,49,71,13,20,5076,1889
"GACHANCIPA","Cundinamarca",707,1059,1820,670,264,285,10,212,8519,5027
"GACHETA","Cundinamarca",278,2205,386,565,109,200,34,83,9198,3860
"GAMA","Cundinamarca",61,651,222,226,25,44,8,25,3045,1262
"GIRARDOT","Cundinamarca",4560,10141,5638,8884,2314,1903,58,1073,79200,34571
"GRANADA","Cundinamarca",312,1218,231,414,115,170,9,103,5442,2572
"GUACHETA","Cundinamarca",423,795,1175,537,206,348,17,169,8306,3670
"GUADUAS","Cundinamarca",641,3421,1161,1924,327,496,37,270,21444,8277
"GUASCA","Cundinamarca",694,1296,1499,567,232,329,15,118,9617,4750
"GUATAQUI","Cundinamarca",44,253,45,298,9,30,6,10,2086,695
"GUATAVITA","Cundinamarca",214,768,912,215,130,108,6,53,4747,2406
"GUAYABAL DE SIQUIMA","Cundinamarca",134,783,333,298,49,52,11,19,3524,1679
"GUAYABETAL","Cundinamarca",132,1381,287,240,50,75,15,51,4285,2231
"GUTIERREZ","Cundinamarca",39,1102,174,135,16,37,0,18,2631,1521
"JERUSALEN","Cundinamarca",39,533,56,261,11,21,4,6,2709,931
"JUNIN","Cundinamarca",157,1069,290,327,45,85,22,48,5483,2043
"LA CALERA","Cundinamarca",2522,1746,2247,1266,964,702,17,272,19108,9736
"LA MESA","Cundinamarca",956,3510,1307,2684,530,429,29,209,22404,9654
"LA PALMA","Cundinamarca",99,1051,155,1070,41,86,21,64,8665,2587
"LA PEÃA","Cundinamarca",50,1766,214,243,16,59,23,44,5503,2415
"LA VEGA","Cundinamarca",499,2251,770,1344,258,324,17,163,11652,5626
"LENGUAZAQUE","Cundinamarca",172,825,1937,189,57,100,6,56,6606,3342
"MACHETA","Cundinamarca",172,1035,477,355,109,115,3,53,6157,2319
"MADRID","Cundinamarca",4653,6688,8093,3478,2016,1816,50,1204,49707,27998
"MANTA","Cundinamarca",101,793,430,420,29,52,5,18,4020,1848
"MEDINA","Cundinamarca",115,1794,454,419,67,73,11,31,6728,2964
"MOSQUERA","Cundinamarca",5009,7199,6674,4612,2383,2069,51,968,51230,28965
"NARIÃO","Cundinamarca",73,247,129,317,19,24,9,12,2463,830
"NEMOCON","Cundinamarca",580,865,1592,822,321,238,9,172,8334,4599
"NILO","Cundinamarca",213,989,274,794,84,61,6,40,6149,2461
"NIMAIMA","Cundinamarca",44,857,145,287,30,45,8,23,3071,1439
"NOCAIMA","Cundinamarca",301,950,300,419,99,126,5,52,5135,2252
"PACHO","Cundinamarca",473,3449,1723,2220,263,442,23,246,19875,8839
"PAIME","Cundinamarca",62,710,99,710,13,30,15,9,4433,1648
"PANDI","Cundinamarca",158,583,269,469,46,47,4,31,4012,1607
"PARATEBUENO (LA NAGUAYA)","Cundinamarca",170,1889,384,705,74,102,15,95,6905,3434
"PASCA","Cundinamarca",893,772,494,555,105,105,8,81,7051,3013
"PUERTO SALGAR","Cundinamarca",675,1840,573,1154,192,213,21,246,13044,4914
"PULI","Cundinamarca",35,667,86,242,21,26,3,15,2817,1095
"QUEBRADANEGRA","Cundinamarca",70,1146,241,245,31,78,8,31,3891,1850
"QUETAME","Cundinamarca",314,1161,587,237,56,122,9,47,5261,2533
"QUIPILE","Cundinamarca",124,1467,180,382,36,52,27,46,6084,2314
"RICAURTE","Cundinamarca",334,1288,435,1673,188,197,10,86,9961,4211
"SAN ANTONIO DEL TEQUENDAMA","Cundinamarca",397,1232,540,882,209,132,4,90,8190,3486
"SAN BERNARDO","Cundinamarca",290,1399,595,612,54,102,7,69,7614,3128
"SAN CAYETANO","Cundinamarca",83,668,185,324,14,31,10,18,4348,1333
"SAN FRANCISCO","Cundinamarca",254,1828,552,528,228,210,12,62,7842,3674
"SAN JUAN DE RIOSECO","Cundinamarca",284,1587,219,1013,96,138,23,91,8876,3451
"SASAIMA","Cundinamarca",262,1601,786,702,118,139,10,89,8417,3707
"SESQUILE","Cundinamarca",599,753,1441,416,198,243,11,162,7304,3823
"SIBATE","Cundinamarca",2087,2856,2908,1409,749,677,22,471,22986,11179
"SILVANIA","Cundinamarca",769,3551,769,1388,270,253,29,144,16048,7173
"SIMIJACA","Cundinamarca",337,1049,1523,562,191,163,14,135,8220,3974
"SOACHA","Cundinamarca",19386,22469,18607,18055,6952,6192,166,3325,190969,95152
"SOPO","Cundinamarca",1410,1499,2996,1451,1055,684,16,263,14970,9374
"SUBACHOQUE","Cundinamarca",517,2305,1793,656,433,390,15,223,10630,6332
"SUESCA","Cundinamarca",920,556,2161,751,266,282,5,213,9435,5154
"SUPATA","Cundinamarca",125,873,384,205,49,59,5,35,4176,1735
"SUSA","Cundinamarca",168,373,1241,225,70,75,11,46,5052,2209
"SUTATAUSA","Cundinamarca",210,541,794,155,93,109,10,78,3679,1990
"TABIO","Cundinamarca",1306,1867,2169,1095,731,567,9,208,13814,7952
"TAUSA","Cundinamarca",179,785,1475,162,68,105,8,87,5527,2869
"TENA","Cundinamarca",231,961,354,736,112,79,6,30,6050,2509
"TENJO","Cundinamarca",1008,2066,1756,1202,766,578,10,230,13067,7616
"TIBACUY","Cundinamarca",163,751,137,401,33,29,11,23,3638,1548
"TIBIRITA","Cundinamarca",67,320,230,249,51,74,14,24,3033,1029
"TOCAIMA","Cundinamarca",384,2092,516,1774,145,207,17,114,12777,5249
"TOCANCIPA","Cundinamarca",1797,2898,5132,1656,765,749,32,473,21852,13502
"TOPAIPI","Cundinamarca",44,749,96,665,8,31,9,21,4084,1623
"UBALA","Cundinamarca",219,979,629,686,32,52,14,60,8421,2671
"UBAQUE","Cundinamarca",311,1139,457,381,71,118,8,92,5478,2577
"UBATE","Cundinamarca",1469,2308,6385,975,779,1149,32,365,28883,13462
"UNE","Cundinamarca",302,1450,267,459,110,143,13,83,6049,2827
"UTICA","Cundinamarca",52,1271,175,389,26,32,9,23,4587,1977
"VENECIA","Cundinamarca",161,508,133,272,25,63,7,24,3438,1193
"VERGARA","Cundinamarca",87,1502,233,478,50,65,30,51,7002,2496
"VIANI","Cundinamarca",110,787,151,400,31,57,8,23,3810,1567
"VILLAGOMEZ","Cundinamarca",49,255,131,277,15,16,5,10,1895,758
"VILLAPINZON","Cundinamarca",696,2279,2564,439,311,363,17,158,12299,6827
"VILLETA","Cundinamarca",606,5145,1286,1606,350,450,28,207,21096,9678
"VIOTA","Cundinamarca",456,2154,242,1038,83,77,23,54,9915,4127
"YACOPI","Cundinamarca",95,1879,112,1005,60,90,34,77,11480,3352
"ZIPACON","Cundinamarca",181,703,462,542,84,94,5,60,3821,2131
"ZIPAQUIRA","Cundinamarca",9116,6351,11363,6214,4513,3260,47,1409,76180,42273
"BARRANCO MINAS","Guainía",49,51,32,204,26,12,4,6,1899,384
"CACAHUAL","Guainía",0,2,1,15,1,1,0,0,305,20
"INIRIDA","Guainía",392,1755,571,2269,258,148,19,60,16907,5472
"LA GUADALUPE","Guainía",1,12,0,11,8,0,0,0,133,32
"MAPIRIPANA","Guainía",23,11,4,19,2,3,1,0,583,63
"MORICHAL (MORICHAL NUEVO)","Guainía",0,0,0,0,0,0,0,0,159,0
"PANA PANA (CAMPO ALEGRE)","Guainía",0,5,0,16,0,0,0,1,288,22
"PUERTO COLOMBIA","Guainía",0,0,0,0,0,0,0,0,981,0
"SAN FELIPE","Guainía",0,0,0,0,0,0,0,0,678,0
"CALAMAR","Guaviare",116,232,117,1016,31,74,12,20,4913,1618
"EL RETORNO","Guaviare",82,1162,223,1770,49,124,6,45,9125,3461
"MIRAFLORES","Guaviare",41,65,76,584,16,40,6,15,4165,843
"SAN JOSE DEL GUAVIARE","Guaviare",726,5167,1473,3236,681,681,147,288,34915,12399
"ACEVEDO","Huila",526,7277,530,280,108,103,36,98,17268,8958
"AGRADO","Huila",224,905,815,466,69,123,15,66,6159,2683
"AIPE","Huila",682,1983,548,981,303,202,26,83,14586,4808
"ALGECIRAS","Huila",535,1929,277,1284,181,151,33,108,13530,4498
"ALTAMIRA","Huila",152,441,185,166,30,54,4,27,2840,1059
"BARAYA","Huila",327,768,153,340,75,58,11,54,5895,1786
"CAMPOALEGRE","Huila",1340,3349,895,1622,511,436,33,413,23580,8599
"COLOMBIA","Huila",215,1382,251,394,70,61,14,26,6505,2413
"ELIAS","Huila",95,838,215,88,55,21,12,15,2833,1339
"GARZON","Huila",2877,8486,3745,1446,1257,1108,76,488,49043,19483
"GIGANTE","Huila",1037,3661,852,676,268,341,32,211,17892,7078
"GUADALUPE","Huila",476,2956,773,271,261,105,17,89,11555,4948
"HOBO","Huila",249,984,267,227,84,106,11,44,5315,1972
"IQUIRA","Huila",572,1117,504,356,158,107,19,56,6523,2889
"ISNOS","Huila",1313,4684,1130,693,321,226,38,144,17129,8549
"LA ARGENTINA (PLATA VIEJA)","Huila",1162,1404,643,198,144,67,14,56,9408,3688
"LA PLATA","Huila",2230,7752,2315,1264,567,444,71,368,38306,15011
"NATAGA","Huila",181,1058,274,169,71,62,19,43,4158,1877
"NEIVA","Huila",23483,29909,14449,14631,10233,4616,555,2054,238445,99930
"OPORAPA","Huila",231,3166,313,113,62,43,7,45,6993,3980
"PAICOL","Huila",104,1065,535,106,73,43,5,27,4513,1958
"PALERMO","Huila",1272,2902,1389,796,459,213,19,115,19861,7165
"PALESTINA","Huila",309,2458,420,181,118,101,14,70,8081,3671
"PITAL","Huila",568,1564,1070,217,150,89,12,54,8872,3724
"PITALITO","Huila",5665,19724,4214,2225,1771,784,102,570,81905,35055
"RIVERA","Huila",1123,1860,883,1035,367,245,19,221,15448,5753
"SALADOBLANCO","Huila",235,3513,214,153,76,58,28,29,8039,4306
"SAN AGUSTIN","Huila",1927,5173,1055,923,310,427,274,149,22119,10238
"SANTA MARIA","Huila",228,2599,432,189,126,61,108,42,7516,3785
"SUAZA","Huila",538,2930,501,308,136,90,16,72,10859,4591
"TARQUI","Huila",504,2374,1027,257,231,244,22,76,10994,4735
"TELLO","Huila",412,1603,256,656,149,119,24,91,10483,3310
"TERUEL","Huila",176,1505,322,173,114,91,5,33,6228,2419
"TESALIA (CARNICERIAS)","Huila",302,1680,674,165,126,107,10,94,7520,3158
"TIMANA","Huila",596,3987,1006,490,200,171,27,114,14480,6591
"VILLAVIEJA","Huila",448,705,276,654,78,96,10,65,6423,2332
"YAGUARA","Huila",597,880,601,262,224,158,8,87,6551,2817
"ALBANIA","Guajira",803,1134,557,1334,401,166,25,98,15674,4518
"BARRANCAS","Guajira",690,1670,478,3308,432,196,18,93,23135,6885
"DIBULLA","Guajira",424,1033,309,3733,176,82,15,51,20295,5823
"DISTRACCION","Guajira",281,698,194,1270,73,79,6,46,7739,2647
"EL MOLINO","Guajira",97,471,108,1990,56,50,2,23,6331,2797
"FONSECA","Guajira",1182,1476,513,5113,324,257,16,127,23839,9008
"HATONUEVO","Guajira",452,696,382,2472,487,115,17,50,12872,4671
"LA JAGUA DEL PILAR","Guajira",72,317,40,1002,26,22,0,22,3655,1501
"MAICAO","Guajira",2855,5010,2340,8261,881,709,54,287,109613,20397
"MANAURE","Guajira",416,1071,495,2249,224,84,34,81,50470,4654
"RIOHACHA","Guajira",3685,6159,2517,15014,1760,1291,488,446,100254,31360
"SAN JUAN DEL CESAR","Guajira",715,4369,652,2743,494,341,87,147,29492,9548
"URIBIA","Guajira",468,1566,596,3195,596,133,57,190,87532,6801
"URUMITA","Guajira",281,698,253,1452,196,90,2,31,7696,3003
"VILLANUEVA","Guajira",453,1616,274,3133,192,144,7,67,16974,5886
"ALGARROBO","Magdalena",132,702,213,2169,37,59,10,49,8874,3371
"ARACATACA","Magdalena",688,1696,451,3220,191,227,21,70,26809,6564
"ARIGUANI (EL DIFICIL)","Magdalena",229,1901,317,3458,132,183,31,57,20834,6308
"CERRO DE SAN ANTONIO","Magdalena",50,288,28,2455,17,21,12,11,7978,2882
"CHIVOLO","Magdalena",126,1297,65,1670,30,34,8,29,12327,3259
"CIENAGA","Magdalena",3223,5913,1848,7576,659,745,45,326,76163,20335
"CONCORDIA","Magdalena",53,414,75,3050,28,18,16,17,10252,3671
