"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL"
"MURINDO","Antioquia",75,19,10,355,6,8,2,7,2508,482
"MUTATA","Antioquia",102,703,166,1796,70,135,25,52,12039,3049
"NARIÃO","Antioquia",32,2345,149,344,40,68,118,50,8867,3146
"NECHI","Antioquia",244,1442,523,1147,98,100,25,64,17285,3643
"NECOCLI","Antioquia",270,2450,486,5424,196,258,77,168,30732,9329
"OLAYA","Antioquia",18,412,191,131,43,42,8,12,2769,857
"PEÃOL","Antioquia",493,2335,783,1181,169,301,54,105,14621,5421
"PEQUE","Antioquia",57,942,71,730,38,114,131,27,5638,2110
"PUEBLORRICO","Antioquia",92,1326,403,350,43,102,18,100,6824,2434
"PUERTO BERRIO","Antioquia",990,3042,1441,2443,467,508,53,266,33297,9210
"PUERTO NARE-LA MAGDALENA","Antioquia",676,831,337,1901,80,91,13,62,11662,3991
"PUERTO TRIUNFO","Antioquia",222,1697,668,643,112,192,23,82,12172,3639
"REMEDIOS","Antioquia",430,657,524,518,218,234,24,139,15888,2744
"RETIRO","Antioquia",901,3390,1376,762,325,456,29,183,14090,7422
"RIONEGRO","Antioquia",7032,16110,9053,4077,2655,3223,113,1573,87238,43836
"SABANALARGA","Antioquia",77,1165,459,333,60,93,91,44,6723,2322
"SABANETA","Antioquia",3688,7922,4688,3237,1678,1986,46,634,54213,23879
"SALGAR","Antioquia",100,1744,206,307,78,111,50,64,13000,2660
"SAN ANDRES","Antioquia",103,657,272,193,54,140,20,74,4862,1513
"SAN CARLOS","Antioquia",164,1539,340,1912,153,141,28,75,12760,4352
"SAN FRANCISCO","Antioquia",60,836,105,679,40,58,26,45,5950,1849
"SAN JERONIMO","Antioquia",308,1883,478,1010,135,246,31,88,11716,4179
"SAN JOSE DE LA MONTAÃA","Antioquia",123,482,308,261,33,106,13,52,3063,1378
"SAN JUAN DE URABA","Antioquia",182,841,141,2814,83,81,25,42,15618,4209
"SAN LUIS","Antioquia",148,1765,461,822,149,212,44,77,10126,3678
"SAN PEDRO","Antioquia",577,2387,1771,565,236,597,40,223,17715,6396
"SAN PEDRO DE URABA","Antioquia",263,2478,366,2701,112,169,56,94,23674,6239
"SAN RAFAEL","Antioquia",346,1745,628,1715,140,263,51,112,11793,5000
"SAN ROQUE","Antioquia",302,2304,752,591,144,253,70,120,13752,4536
"SAN VICENTE","Antioquia",529,3990,1574,721,184,271,57,230,15748,7556
"SANTA BARBARA","Antioquia",709,1845,800,982,165,332,34,124,21397,4991
"SANTA ROSA DE OSOS","Antioquia",1122,4711,2749,1343,495,1049,267,580,24207,12316
"SANTO DOMINGO","Antioquia",225,1351,605,773,98,222,56,112,8481,3442
"SANTUARIO","Antioquia",997,6776,3061,1085,450,575,96,288,25148,13328
"SEGOVIA","Antioquia",1022,908,781,968,348,391,22,119,24294,4559
"SONSON","Antioquia",564,5774,1283,1223,219,372,99,254,26652,9788
"SOPETRAN","Antioquia",290,1351,543,961,261,199,37,140,11498,3782
"TAMESIS","Antioquia",463,1969,1429,586,185,315,46,146,14122,5139
"TARAZA","Antioquia",637,899,698,1848,268,226,48,162,24855,4786
"TARSO","Antioquia",67,552,150,737,41,111,19,47,5647,1724
"TITIRIBI","Antioquia",172,729,349,702,89,206,16,79,8664,2342
"TOLEDO","Antioquia",108,360,263,151,63,157,38,65,4226,1205
"TURBO","Antioquia",742,5183,1438,14073,591,1109,117,449,78990,23702
"URAMITA","Antioquia",64,442,98,1074,29,74,15,37,6039,1833
"URRAO","Antioquia",369,3163,629,1232,254,559,85,194,21012,6485
"VALDIVIA","Antioquia",159,514,392,561,61,93,29,55,11471,1864
"VALPARAISO","Antioquia",142,707,351,712,49,88,18,62,5654,2129
"VEGACHI","Antioquia",237,1123,321,310,78,154,21,50,9973,2294
"VENECIA","Antioquia",236,1269,532,777,97,212,27,73,10635,3223
"VIGIA DEL FUERTE","Antioquia",18,262,30,1240,15,26,14,14,5037,1619
"YALI","Antioquia",96,428,186,342,32,71,10,26,5481,1191
"YARUMAL","Antioquia",1275,4198,2353,1162,502,715,106,395,31961,10706
"YOLOMBO","Antioquia",368,1790,659,817,149,256,53,81,15546,4173
"YONDO-CASABE","Antioquia",960,1055,433,1371,165,132,23,94,11075,4233
"ZARAGOZA","Antioquia",573,817,501,1353,251,197,22,175,17765,3889
"ARAUCA","Arauca",1517,13541,1959,4721,1208,1075,360,566,62385,24947
"ARAUQUITA","Arauca",1666,1552,570,2913,317,251,42,196,24762,7507
"CRAVO NORTE","Arauca",36,620,14,264,15,44,3,17,3387,1013
"FORTUL","Arauca",758,578,233,1316,84,202,34,126,9836,3331
"PUERTO RONDON","Arauca",34,729,30,245,20,53,11,15,3459,1137
"SARAVENA","Arauca",1521,3402,1195,2532,533,616,53,452,28963,10304
"TAME","Arauca",1132,4829,908,2676,311,481,58,246,29423,10641
"BARANOA","Atlántico",1573,1448,950,8910,416,391,34,93,44081,13815
"BARRANQUILLA","Atlántico",36009,47075,21214,81719,17352,12303,664,2436,968361,218772
"CAMPO DE LA CRUZ","Atlántico",117,1001,262,2364,59,75,5,36,18710,3919
